gauge_id,station_name,river,longitude,latitude,series_id,proc_id,var_id,unit,country,source,altitude,area
2,Rosario del Tala,GUALEGUAY,-59.0768055555556,-32.3085,9636,1,40,,Argentina,INA Alerta,,0.0
3,Paso Alonso,GUALEGUAY,-59.2703333333333,-33.1006111111111,42624,1,40,,Argentina,INA Alerta,,
5,Paso Medina,FELICIANO,-59.5512222222222,-30.9236944444444,42626,1,40,,Argentina,INA Alerta,,
8,Andresito,IGUAZU,-53.9833333333333,-25.5833333333333,26605,1,40,,Argentina,INA Alerta,,66551.6507338408
9,Puerto Iguazú,PARANAMED,-54.5666666666667,-25.5833333333333,26606,1,40,,Argentina,INA Alerta,,68472.1152
10,Libertad,PARANAMED,-54.621134,-25.916679,26607,1,40,,Argentina,INA Alerta,,
14,Posadas,PARANAMED,-55.8833333333333,-27.3666666666667,26611,1,40,,Argentina,INA Alerta,,
17,Itatí,PARANAMED,-58.24407387,-27.26677773,26614,1,40,,Argentina,INA Alerta,,963005.7293593681
19,Corrientes,PARANAMED,-58.8388696,-27.46364349,26616,1,40,,Argentina,INA Alerta,,2105374.39130211
20,Barranqueras,BARRANQUERAS,-58.9333333333333,-27.4833333333333,26617,1,40,,Argentina,INA Alerta,,
29,Paraná,PARANAINF,-60.5225697750899,-31.7182378629681,26626,1,40,,Argentina,INA Alerta,,2500362.41569465
30,Santa Fe,PARANAINF,-60.7002319185745,-31.6514772196376,26627,1,40,,Argentina,INA Alerta,,
34,Rosario,PARANAINF,-60.6308206029857,-32.9432699442268,26631,1,40,,Argentina,INA Alerta,,
38,San Pedro,PARANAINF,-59.6497183332918,-33.6745267329027,26635,1,40,,Argentina,INA Alerta,,
55,Puerto Pilcomayo,PARAGUAY,-57.65,-25.3666666666667,26652,1,40,,Argentina,INA Alerta,,874094.938877712
57,Puerto Formosa,PARAGUAY,-58.1833333333333,-26.1833333333333,26654,1,40,,Argentina,INA Alerta,,956996.68154366
61,El Soberbio,URUGUAY,-54.2,-27.3,26658,1,40,,Argentina,INA Alerta,,
65,San Javier,URUGUAY,-55.1333333333333,-27.8833333333333,26662,1,40,,Argentina,INA Alerta,,98084.4861316302
67,Garruchos,URUGUAY,-55.65,-28.1833333333333,26664,1,40,,Argentina,INA Alerta,,
68,Santo Tomé,URUGUAY,-56.0333333333333,-28.55,26665,1,40,,Argentina,INA Alerta,,
69,Alvear,URUGUAY,-56.55,-29.1,26666,1,40,,Argentina,INA Alerta,,0.0
72,Paso de los Libres,URUGUAY,-57.0833333333333,-29.7166666666667,26669,1,40,,Argentina,INA Alerta,,
74,Monte Caseros,URUGUAY,-57.6333333333333,-30.25,26671,1,40,,Argentina,INA Alerta,,
77,Salto Grande Arriba,URUGUAY,-57.936945,-31.27547,26674,1,40,,Argentina,INA Alerta,,
78,Salto Grande Abajo,URUGUAY,-57.936945,-31.27547,26675,1,40,,Argentina,INA Alerta,,0.0
79,Concordia,URUGUAY,-58.0166666666667,-31.4,26676,1,40,,Argentina,INA Alerta,,145041.250700829
87,Yacyretá afluente,PARANAMED,-56.727244,-27.482557,26684,1,40,,Argentina,INA Alerta,,
88,Yacyretá efluente,PARANAMED,-56.727244,-27.482557,26685,1,40,,Argentina,INA Alerta,,959268.071686351
89,Aporte Salto Grande,URUGUAY,-57.938011,-31.273969,26686,1,40,,Argentina,INA Alerta,,
90,Erogado Salto Grande,URUGUAY,-57.938011,-31.273969,26687,1,40,,Argentina,INA Alerta,,
