"gauge_id","latitude","longitude"
"403213",-36.61945775,146.24407214
"403239",-36.36666667,146.2833333
"403251",-36.47080718,146.246199
"913010A",-18.876921,139.360487
"6131318",-32.97808,115.90111
"144005A",-27.49561971,153.50836409
"212052",-33.6594,150.8798
"609062",-33.220737991,117.808992792
"412060",-34.1984,149.6512
"412094",-34.2512,149.7051
"205001",-30.354,152.91
"205014",-30.3863,152.8814
"205003",-30.3318,152.8617
"2122051.2",NA,NA
"2122052.2",NA,NA
"212208.2",NA,NA
"212221.2",NA,NA
"212231.2",NA,NA
"2122322.2",NA,NA
"2122341.2",NA,NA
"212244.2",NA,NA
"212250.2",NA,NA
"2122512.2",NA,NA
"212260.2",NA,NA
"212270.2",NA,NA
"2122791.2",NA,NA
"212280.2",NA,NA
"2122809.2",NA,NA
"212291.2",NA,NA
"2122996.2",NA,NA
"215215.2",NA,NA
"212051",-33.6771,150.9149
"403249",-36.33656586,146.2998983
"609063",-33.219134087,117.807357649
"136107A",-24.72364408,151.00793642
"616026",-32.22775864,116.15953312
"WQ420026",NA,NA
"614057",-32.8473329,116.19210368
"912109A",-17.79961111,139.35955556
"614053",-32.68815895,115.99716284
"ASWTLB01DEC001",NA,NA
"ASWTLB14TOT001",NA,NA
"ASWTLB01HLC001",NA,NA
"ASWTLB03TON002",NA,NA
"ASWTLB03TON003",NA,NA
"ASWTLB03TON001",NA,NA
"ASWTLB10HAR001",NA,NA
"ASWTLB10HAL001",NA,NA
"ASWTLB01HUC001",NA,NA
"ASWTLB10WDR001",NA,NA
"ASWTLB11EDR002",NA,NA
"ASWTLB11TAB001",NA,NA
"ASWTLB11EDR001",NA,NA
"ASWTLB11DOR001",NA,NA
"ASWTLB03BAK001",NA,NA
"ASWTLB03TIN001",NA,NA
"ASWTLB03BRO001",NA,NA
"ASWTLB03TON004",NA,NA
"ASWTLB03TON005",NA,NA
"ASWTLB05TIN001",NA,NA
"ASWTLB15WAL001",NA,NA
"ASWTLB11WOG001",NA,NA
"ASWTLB05WED001",NA,NA
"ASWTLB05HAR002",NA,NA
"ASWTLB05HAR001",NA,NA
"ASWTLB14TIN002",NA,NA
"ASWTLB14TIN001",NA,NA
"143223A",-27.44527778,152.43222222
"410178",-35.2219,144.7999
"410177",-35.2903,144.8986
"600162",-35.88833333,148.37166667
"405327",-36.87688345,145.4746745
