,gauge_id,station_name,river,altitude,area,xrkko08,yhkko09,latitude,longitude
0,203364,St. Leonhard (Summenpegel),Königssee m. Almkanal,446.14,428.2,378207.36,425212.55,47.72594897072666,13.04199013511841
1,207035,Wehrstelle KW Aschach,Donau,260.0,78190.0,451348.01,498818.15,48.38644587841441,14.025964257811484
2,207902,St. Veit an der Gölsen,Gölsen,372.08,211.1,575851.44,463322.71,48.045237159436105,15.692127896357931
3,209775,Windigsteig,Thauabach,484.17,107.1,543468.54,542485.16,48.76508439089037,15.284441567282961
4,214536,Totes Weib,Mürz,847.32,103.7,561462.9,427633.46,47.72803963243265,15.48591588201137
5,211813,Frauental (Wildbach),Wildbach,327.0,50.5,546759.18,327201.1,46.8281682589223,15.256805229741186
6,212407,Möllbrücke,Möll,555.0,1097.7,402880.81,326410.2,46.83733644784171,13.37041159718471
7,212704,Neudorf,Gössering,581.56,75.2,403118.28,302058.62,46.618225026102984,13.373372375865783
8,201582,Mühlen,Navisbach,1009.08,61.5,257892.3,359093.37,47.115947429115025,11.459334138238153
9,202259,Thiersee,Thierseebach,615.66,6.2,308761.7,411025.41,47.5922332195588,12.119041355178311
10,211722,Rettenegg,Feistritz,849.97,43.0,585003.73,405562.14,47.52327367102416,15.790375356249056
11,213686,Alte Schmiede,St. Oswald Bach,1304.12,13.5,433565.6,327580.41,46.84703140058632,13.772834128362517
12,213496,Reifnitz,Reifnitzbach,440.93,34.9,465002.61,301040.16,46.60589973538035,14.181301295720143
13,212985,Pörtschach-See,Wörthersee,438.89,162.1,461654.99,304150.13,46.634200036953935,14.138018292028411
14,213009,Viktring,Viktringer Bach,447.37,12.5,471966.95,299545.75,46.59173624643747,14.27198157200248
15,213025,Weinländer,Glanfurt,434.2,201.3,475026.35,300545.35,46.60039104932539,14.312073220797723
16,213033,Zell,Glan,410.44,817.9,481832.96,301265.51,46.60606604998127,14.401047184836015
17,213041,Gumisch,Gurk,394.38,2555.4,487727.13,301344.3,46.60602186382516,14.478004627374116
18,213348,Unterburg-See,Klopeiner See,445.14,4.1,496731.02,301328.32,46.604626375813524,14.595534952595946
19,213579,Gösselsdorf-See,Gösselsdorfer See,466.66,29.8,498655.43,297039.21,46.56575611799759,14.61972982948903
20,213942,St. Stefan,Globasnitzbach,511.21,21.1,505717.39,298041.59,46.57368656063587,14.712074168346911
21,213389,Kaunz,Wölfnitzbach,523.21,28.1,507281.94,315300.8,46.72870643461924,14.73653951500715
22,213520,Loibach,Loibach,485.61,19.9,513232.84,296855.29,46.56177454843396,14.809820791907118
23,213173,Lavamünd Ort,Drau,338.02,11043.0,523010.67,305825.93,46.640734388515945,14.939752194659427
24,213363,Bad St. Leonhard,Lavant,668.2,200.6,511854.75,340413.29,46.95386599429895,14.802566725997494
25,213538,Waldenstein,Waldensteiner Bach,695.13,101.0,517302.38,337489.08,46.926612061589616,14.873377989107926
26,213314,St. Jakob,Weißenbach,459.87,55.9,514535.72,327923.25,46.84104326975769,14.834624807485522
27,213371,Fischering,Lavant,409.75,715.6,514767.82,321586.94,46.7840007966017,14.836063918887076
28,213819,St. Paul,Granitzbach,374.48,61.1,517606.54,312293.37,46.69989665551665,14.870836307018914
29,213090,Krottendorf,Lavant,354.05,954.5,523353.9,308304.78,46.66296975505413,14.94490555014538
30,200014,Bangs,Rhein,419.93,4654.4,112844.23,381943.4,47.27374687424148,9.534836699065645
31,200022,Gaschurn (VIW),Ill,946.82,145.4,148345.86,348834.8,46.99077337968767,10.022412340535968
32,200030,Gargellen,Suggadinbach,1402.24,39.9,140367.26,346943.35,46.97066186103956,9.918690009347891
33,200048,Schruns (Vonbunweg),Litz,673.25,101.4,140522.51,359133.56,47.08030259739119,9.913673288389285
34,200055,Vandans (VIW),Ill,624.83,510.9,137087.29,361183.19,47.09735645895886,9.867264736832189
35,231662,Lorüns-Äule,Ill,578.53,534.6,135785.51,365187.15,47.13282299824639,9.847761774951971
