gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,provider,vertical_datum
HIS_K03_OM102,Mendonk/Stuw,Zuidlede,51.1468063102965,3.8311392348016,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_K03_OM104,Oosteeklo/Burggraevestroom,Burggravenstroom,51.1685626250273,3.68428590753849,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_K03_OM107,Kluizen/Averijevaart,Avrijevaart,51.1612317549606,3.73802588059034,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_K03_OM151,Waarschoot/Pompstation,Oostmoer,51.1542405061857,3.61683870664672,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_K04_MQ01,Deurne/Krooshekken,Groot Schijn - Voorgracht,51.2274825328014,4.44590734495988,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_K04_OM205,Wichelen/Stuw,Molenbeek,50.999624063668,3.9557302334801,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_K05_WM506,Waregem/Stuw6(Vichtseweg),Gaverbeek,50.8617656431294,3.4116893541971,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_K07_OM401,Viane/Stuw1,Mark,50.7423908450858,3.89826852535935,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_K07_OM403,Galmaarden/Stuw3,Mark,50.7511280296486,3.94989906249247,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L01_42G,Oudenburg,Gr. Zwaanhoekgeleed,51.1996332160055,2.99626097452464,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L01_42H,Voorhaven,Moerdijkvaart,51.217861881426,2.93827239449185,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L01_499,Merkem,Stenensluisvaart,50.9680197682874,2.88760462089248,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L02_43B,Lissewege,Leopoldkanaal,51.3317797555197,3.22285903682522,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L03_446,Nevele,Poekebeek,51.0339849416703,3.55124898225949,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L03_447,St-Laureins/StJansinEremo,Roeselarekreek,51.2595399778973,3.57885465087199,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L03_448,St-Laureins/StJansinEremo,Roeselarekreek,51.2674968059999,3.64233768808523,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L05_401,Markegem,Mandel,50.9458059876527,3.38573409129704,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L06_34N,Ronse,Molenbeek,50.7539382277346,3.61538788671548,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L07_28B,Herzele,Ter Erpenbeek,50.872664880671,3.87963841576454,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L08_094,Leuven,Dijle,50.8704986222643,4.69462479761368,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L08_095,Leuven,Dijle Vierde Arm,50.8857958803698,4.69727313029665,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L08_192,Huizingen,Zenne,50.7535746046088,4.2590936113121,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L08_194,Lembeek,Zenne,50.713961434611,4.22964872548814,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L09_124,Diest,Demer,50.9917065694594,5.05246958563842,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L09_129,Halen,Demer,50.9588090946487,5.11666847517572,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L09_142,Houwaart,Winge,50.9119532326935,4.84901995040049,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L09_146,Halen,Velpe,50.9428812126072,5.11070839241021,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L10_086,Vorst,Grote Laak,51.076822343852,4.9968215315238,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L11_049,BaarleHertog,Noordermark,51.407017362661,4.87087467639071,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L11_04A,Rijkevorsel,Kleine Mark,51.3872352100363,4.790074031389,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L11_517,Kessenich,Witbeek,51.1526012161083,5.83087243828601,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L11_518,Opoeteren,Bosbeek,51.076654213862,5.67355005280147,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L11_564,Sint-Martens-Voeren,Veurs,50.7494438357223,5.81299352125226,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L11_568,s-Gravenvoeren,Noorbeek,50.7645098863133,5.78830552345682,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_LS02_429,Sint-Michiels,Zuidervaartje,51.1737250848467,3.20678808572048,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_LS06_34G,Nukerke,Marie Barrebeek,50.7989053212676,3.60402937176697,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_LS09_16A,Heks,Herkebeek,50.7676851385466,5.35746528191046,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_LS09_16B,Vechmaal,Herkebeek,50.7614269760123,5.36497406341573,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_10-2,Oostkamp,Rivierbeek,51.139447130091,3.25148206210613,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_100,Herenthout,Wimp,51.1261273947406,4.76263204907362,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_105,Zandhoven,Tappelbeek,51.2350196067839,4.65900543267595,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_109,Vorselaar,Bosbeek,51.2091878542174,4.7923552152827,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_113,Kasterlee,Grote Calie,51.2369623018682,4.90318990688509,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_115,Geel,Dalemansloop,51.2083559706225,4.99040943830526,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_116-2,Geel,Kleine Nete,51.1986270735431,4.90290752781067,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_117,Kasterlee,Wamp,51.2464105130008,5.00957873567274,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_119,Retie,Desselse Neet,51.248352859161,5.07263791667725,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_124,Halen,Gete,50.9575137163142,5.11680436583258,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_125,Halen,Zwartwater,50.9680669667586,5.0895813244423,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_13-2,Kortrijk,Heulebeek,50.8427739340977,3.23287015545387,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_133,Kinrooi,Lossing,51.1653031749726,5.73960064150678,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_134,Assenede,Isabellawatering,51.2555708501062,3.69593975840751,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_138-2,Sint-Pieters-Leeuw,Zuunbeek,50.8083306897142,4.29345724478555,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_15,Nevele,Poekebeek,51.0319515303387,3.54454118737872,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_18-2,Wezembeek-Oppem,Voer,50.8305604563921,4.50429498480051,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_26,Gavere,Stampkotbeek,50.9172190505091,3.65204891124621,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_29,rotselaar,Molenbeek,50.9380576964999,4.0542793698484,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_30,Liedekerke,Bellebeek (Hunselbeek),50.8852768950304,4.09594367461346,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_36,Ronse,Molenbeek,50.7419419503653,3.56093146151398,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_510-2,Kasterlee,Kleine Nete,51.2102979660181,4.93679965215909,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_511-2,Geel,Kleine Nete,51.2025220780496,4.9217958563098,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_514,Hasselt,Demer,50.9608480101763,5.26820176435012,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_515,Wellen,Herk,50.8436249639881,5.33181449226437,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_530-2,Aalst/Mere,Ter Erpenbeek,50.9566710781005,4.03344615202786,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_534,Sint-Pieters-Leeuw,Zuunbeek,50.7847208291534,4.24678360165504,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_538,Hasselt,Demer,50.9380707730614,5.34653163299883,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_575,Zemst,Zenne,50.9844518236737,4.48540289287373,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_577,Kortenaken,Velpe,50.9200110666079,5.07430747058788,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_67-2,Riemst,Jeker,50.8147344618582,5.67154531628977,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_68,Hasselt,Kleine Herk,50.8966830775275,5.30542472209696,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_700-2,Affligem,Bellebeek (Hunselbeek),50.8872282290731,4.13373541301447,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_703,Leuven,Voer,50.8647300062786,4.67874438248314,,,Belgium,Flemish Environment Agency - VMM,vmm,
