L1_ts_name,station_name,longitude,L1_ts_unitsymbol,L1_station_longname,latitude,L1_timestamp,metadata_station_id,L1_ts_precision,L1_stationparameter_no,L1_web_flow_class,gauge_id,L1_req_timestamp,L1_stationparameter_name,L1_label,L1_ts_value,L1_ts_id,catchment,metadata_station_carteasting,metadata_station_cartnorthing,metadata_site_name,metadata_station_longname,metadata_site_no,metadata_object_type,metadata_station_local_x,metadata_station_local_y,metadata_station_elevation,area,metadata_WTO_OBJECT,river,country,source
81 Web Kontinuirani,HS Kaloševići,17.90406242892678,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.64680728070949,2026-01-02T14:00:00.000+01:00,12191,"Deci,3,0,0",Q,#MIN#,4510,,Proticaj,Proticaj,1.876,10158010,Bosna,6492481.45,4944707.34,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6492481.45,4944707.34,,,Usora,Usora,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Kakanj n/Zg,18.11637802591733,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.12815924535643,2026-01-02T15:00:00.000+01:00,12194,"Deci,3,0,0",Q,,4240,,Proticaj,Proticaj,0.107,9186010,Bosna,6509402.56,4887082.25,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6509402.56,4887082.25,,,Zgošća,Zgošća,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Ljubnići,18.256887847750523,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,43.96558356471353,2026-01-02T15:00:00.000+01:00,12150,"Deci,3,0,0",Q,,4024,,Proticaj,Proticaj,7.949,17222010,Bosna,6520702.61,4869044.76,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6520702.61,4869044.76,,,Bosna,Bosna,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Visoko n/B,18.18273131136336,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,43.99068233052136,2026-01-02T15:00:00.000+01:00,12151,"Deci,3,0,0",Q,#MIN#,4030,,Proticaj,Proticaj,15.785,6378010,Bosna,6514745.85,4871817.63,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6514745.85,4871817.63,,,Bosna,Bosna,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Veseočica,17.453698446374055,m³/s,PODRUČJA NA SLIVU RIJEKE VRBAS,44.05249831527175,2026-01-02T08:00:00.000+01:00,12231,"Deci,3,0,0",Q,,2103,,Proticaj,Proticaj,1.344,5298010,Vrbas,6456315.07,4878816.52,Vrbas,PODRUČJA NA SLIVU RIJEKE VRBAS,3,General;Hidrološka stanica,6456315.07,4878816.52,,,Veseočica,Veseočica,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Raspotočje,17.933388718917506,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.19122574342485,2026-01-02T15:00:00.000+01:00,12154,"Deci,3,0,0",Q,#MIN#,4050,,Proticaj,Proticaj,22.332,6702010,Bosna,1996335.7,5495082.65,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6494764.643866,4894085.3464012,,,Bosna,Bosna,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Ilidža,18.309150475285364,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,43.82547342947222,2025-11-30T01:00:00.000+01:00,12198,"Deci,3,0,0",Q,,4110,,Proticaj,Proticaj,13.759,7674010,Bosna,6524954.09,4853492.8,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6524954.09,4853492.8,,,Željeznica,Željeznica,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Bistrica,17.568277047406596,m³/s,PODRUČJA NA SLIVU RIJEKE VRBAS,43.956291940171255,2026-01-02T15:00:00.000+01:00,12230,"Deci,3,0,0",Q,,2101-B,,Proticaj,Proticaj,1.1,5190010,Vrbas,6465439.66,4868073.0,Vrbas,PODRUČJA NA SLIVU RIJEKE VRBAS,3,General;Hidrološka stanica,6465439.66,4868073.0,,,Bistrica,Bistrica,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Kakanj n/B,18.112798906631777,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.122867485037176,2026-01-02T15:00:00.000+01:00,12153,"Deci,3,0,0",Q,,4042,,Proticaj,Proticaj,18.79,6594010,Bosna,6509116.93,4886493.93,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6509116.93,4886493.93,,,Bosna,Bosna,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Blažuj,18.25663613998877,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,43.8431791811352,2026-01-02T15:00:00.000+01:00,12197,"Deci,3,0,0",Q,#<MIN#,4121,,Proticaj,Proticaj,0.0,8106010,Bosna,6520724.16,4855445.59,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6520724.16,4855445.59,,,Zujevina,Zujevina,Bosnia and Herzegovina,vodostaji.voda.ba
