gauge_id,station_name,river,latitude,longitude,area,altitude,source,country
0-203-1-206200,Slapany,Odrava,50.0285906,12.3757759,266.89,,CHMI Open Data,Czech Republic
0-203-1-206900,Leopoldovy Hamry,Libocký potok,50.2269687,12.4974146,55.68,,CHMI Open Data,Czech Republic
0-203-1-210600,Mnichov,Pramenský potok,50.0492102,12.7951081,48.27,,CHMI Open Data,Czech Republic
0-203-1-200500,Průhonice,Dobřejovický potok,49.9910038,14.560803,12.77,,CHMI Open Data,Czech Republic
0-203-1-169000,Praha-Zbraslav,Vltava,49.9720788,14.3975646,17824.82,,CHMI Open Data,Czech Republic
0-203-1-200700,Praha-Výtoň,Vltava,50.0681902,14.4146269,26903.2,,CHMI Open Data,Czech Republic
0-203-1-201000,Praha-Libeň,Rokytka,50.1070372,14.4703113,121.26,,CHMI Open Data,Czech Republic
0-203-1-198600,Srbsko,Berounka,49.9371117,14.1330758,8576.34,,CHMI Open Data,Czech Republic
0-203-1-199600,Praha-Radotín,Radotínský potok,49.9835875,14.3606714,67.94,,CHMI Open Data,Czech Republic
0-203-1-199200,Praha-Radotín,Berounka,49.9813144,14.3625641,8780.17,,CHMI Open Data,Czech Republic
0-203-1-155600,Stříbrné Hory,Borovský potok,49.598698,15.7017433,72.19,,CHMI Open Data,Czech Republic
0-203-1-330000,Alžbětín,Řezná,49.1252653,13.2140322,30.0,,CHMI Open Data,Czech Republic
0-203-1-436500,Dyjákovice,Mlýnská strouha (Dyjskomlýnský náhon),48.7423496,16.3082064,154.7,,CHMI Open Data,Czech Republic
0-203-1-206210,Slapany-lom,Odrava,50.0303315,12.3804002,267.31,,CHMI Open Data,Czech Republic
0-203-1-140500,Hlupín,Březový potok,49.3281893,13.7719094,89.47,,CHMI Open Data,Czech Republic
0-203-1-132200,Úraz,Chotovinský potok,49.5150077,14.702966,11.69,,CHMI Open Data,Czech Republic
0-203-1-113200,Horní Stropnice,Stropnice,48.7622324,14.7396943,25.72,,CHMI Open Data,Czech Republic
0-203-1-087000,Slaná,Oleška,50.5886506,15.3344837,169.14,,CHMI Open Data,Czech Republic
