gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,supported_variable,Suure_Id,H_Kunta_Id,KuntaNimi,Nro,KoordYkPohj,KoordYkIta,KoordPkPohj,KoordPkIta,KoordLat,KoordLong,KoordTarkkuus,Karttalehti,Omistaja_Id,Tila_Id,Laitteisto_Id,H_Vesal_Id,VesalNimi,H_PaaVesal_Id,KoordErTmPohj,KoordErTmIta,Jarvi_Id,JarviNro,JarviNimi
894,Ruskeakoski,Jänisjoki,62.427083499438446,30.441867713779605,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,167,Joensuu,0100150,6929395,3677929,6924731,4522990,622536,302641,10,424107A,2,1,9.0,10,Loitimon la,1,6926492,677686,93.0,01.021.1.001,Melakko-Loitimo
895,Vääräkoski,Jänisjoki,62.21430875895046,30.500721770332525,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,848,Tohmajärvi,0101251,6905869,3682250,6901039,4526215,621250,303013,0,423208C,2,1,9.0,4,Jänisjoen keskiosan a,1,6902976,682005,18.0,01.011.1.018,Varislampi
896,Kontturi,Tohmajoki,61.97771648247936,30.320053773188903,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,260,Kitee,0201000,6879031,3674209,6874612,4516944,615838,301923,1,423105C,16,1,7.0,69,Kiteenjoen alaosan a,2,6876149,673968,742.0,02.021.1.001,Kamarahkonlampi
897,Juankoski,Hiitolanjoki,61.434885247531525,29.342999133129982,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,689,Rautjärvi,0300250,6816330,3625189,6814253,4465100,612604,292045,10,412302C,2,1,9.0,81,Simpelejärven alaosan la,3,6813473,624968,835.0,03.012.1.020,Konkanlampi
898,Kangaskoski,Hiitolanjoki,61.41166958601203,29.402671979592597,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,689,Rautjärvi,0300450,6813860,3628467,6811636,4468260,612440,292420,10,412302C,2,1,9.0,78,Kokkolanjoen a,3,6811004,628245,813.0,03.011.1.001,Lahnanen
899,"Jongunjoki, Viitakoski",Vuoksi,63.563168610570685,30.015033389904797,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,422,Lieksa,0400510,7054821,3649961,7051283,4500910,633345,300105,0,434102A,16,2,,340,Jongunjoen a,4,7051867,649728,,,
900,"Jongunjoki, Viitakoski",Vuoksi,63.563168610570685,30.015033389904797,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,422,Lieksa,0400520,7054821,3649961,7051283,4500910,633345,300105,1,434102A,16,1,7.0,340,Jongunjoen a,4,7051867,649728,,,
901,"Lieksanjoki, Ruunaa",Vuoksi,63.41781473113794,30.470659284830596,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,422,Lieksa,0400600,7039784,3673459,7035167,4523671,632502,302826,1,433209B,16,1,7.0,389,Ruunaanjärven a,4,7036836,673217,8332.0,04.492.1.001,Polvijärvi
902,"Lieksanjoki, Höpöttäjänvirta",Vuoksi,63.33563976043148,30.037090714601057,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,422,Lieksa,0400800,7029531,3652258,7025920,4502020,632006,300225,0,433202B,16,2,,332,Lieksankosken a,4,7026588,652025,6961.0,04.421.1.003,Riikolanlampi
903,"Lieksanjoki, Lieksankoski",Vuoksi,63.33563976043148,30.037090714601057,,,Finland,Finnish Environment Institute (SYKE),discharge_daily_mean,2,422,Lieksa,0400850,7029531,3652258,7025920,4502020,632006,300225,10,433202B,2,1,9.0,332,Lieksankosken a,4,7026588,652025,6961.0,04.421.1.003,Riikolanlampi
