gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,vertical_datum
10042,Arklow Town Br,AVOCA,52.79826472,-6.152069167,-1.281,0.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
10047,Glenavon Park,KILL 0'THE GRANGE,53.247361,-6.12625,8.86,6.27,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
10048,Cherry Wood,LOUGHLINSTOWN,53.246972,-6.137667,15.907,20.04,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
10049,Meadow Vale Park,DEANSGRANGE,53.269639,-6.153056,30.005,1.46,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
10050,Brides Glen,Shanganagh,53.238742,-6.146892,41.333,10.75,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
10051,Powerscourt House,Dargle,53.181773,-6.175674,72.026,58.12,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
10060,Arklow Harbour,AVOCA HARBOUR,52.79204667,-6.145231389,0.021,0.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
10062,Ravenswell Road,Dargle,53.208295,-6.104617,-0.364,128.04,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
1041,Sandy Mills,DEELE,54.83831806,-7.575758056,3.655,113.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
1042,Dreenan,FINN [Donegal],54.7987225,-7.763996389,14.29,353.0,Ireland,Office of Public Works (OPW) Ireland,Poolbeg
1043,Ballybofey,FINN [Donegal],54.79976861,-7.790749444,13.244,319.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
11001,Boleany,OWENAVORRAGH,52.64369028,-6.270794167,5.986,148.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12001,Scarrawalsh,SLANEY,52.54851278,-6.550221667,6.027,1036.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12002,Enniscorthy,SLANEY,52.50230694,-6.566852222,0.056,1319.92,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12005,Tullow Town Br U/S,SLANEY,52.80201306,-6.738373056,67.462,249.12,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12006,Tullowbeg,SLANEY,52.79606417,-6.738396944,64.948,251.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head
12007,St. Johns Br,URRIN,52.49329083,-6.573358611,-0.538,115.43,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12008,Rafter Br D/S,SLANEY,52.5009175,-6.564173056,-0.418,1320.66,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12009,Rafter Br U/S,SLANEY,52.50106139,-6.564197778,-0.428,1320.66,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12043,Ballynagee,HORSE RIVER,52.326228,-6.48205199,40.119,2.72,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12044,Whitemill South,HORSE RIVER,52.328281,-6.47393299,25.998,3.5,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12061,Edermine Br,SLANEY,52.45409389,-6.562578056,-1.883,5.54,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12063,Assaly,ASSALY ESTY,52.27905389,-6.43554,-1.123,39.8,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
12064,Ferrycarrig Br,SLANEY,52.35083694,-6.511451944,-2.036,0.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
13070,Ladys Island,LADY'S ISLAND LAKE,52.21100444,-6.383141111,-2.558,0.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
13072,Sigginstown,L. TACUMSHIN,52.20193,-6.45444,-1.453,0.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
13081,Cull Pump House,BALLYTEIGE LAGOON,52.20454361,-6.629580556,-2.611,22.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14001,Carlow,BARROW,52.83422444,-6.938009444,43.168,2241.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14003,Borness,BARROW,53.13224944,-7.308428889,67.339,276.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14004,Clonbulloge,FIGILE,53.25865583,-7.086853611,63.933,268.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14005,Portarlington,BARROW,53.16181278,-7.192953333,62.494,406.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14006,Pass Bridge,BARROW,53.14592333,-7.070581111,56.361,1096.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14007,Derrybrock,STRADBALLY,53.03905167,-7.085032222,56.486,115.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14009,Cushina,CUSHINA,53.19432139,-7.174493056,62.369,68.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14011,Rathangan,SLATE,53.22061583,-6.992655278,67.102,163.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14013,Ballinacarrig,BURREN,52.82426389,-6.898153889,50.787,155.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14018,Royal Oak,BARROW,52.70019833,-6.981458056,31.098,2415.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14019,Levitstown,BARROW,52.93537778,-6.949797222,46.731,1660.0,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
14022,Barrow New Bridge,BARROW,52.84613806,-6.931752222,44.788,2050.5,Ireland,Office of Public Works (OPW) Ireland,Malin Head OSGM15
