gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,municipality,province,basin,hydro_zone,zero_idrometrico
TOS01004005,Carrara,Carrione,44.081991934429944,10.1027816607424,108.0,,Italy,Settore Idrologico Regione Toscana - SIR,Carrara,MS,Carrione,V,95.69
TOS01004007,Avenza,Carrione,44.045157971012145,10.06012591766429,15.0,,Italy,Settore Idrologico Regione Toscana - SIR,Carrara,MS,Versilia,V,6.41
TOS01004379,Stia,Arno,43.80051117752395,11.70570195389426,537.0,,Italy,Settore Idrologico Regione Toscana - SIR,Pratovecchio Stia,AR,Casentino,A1,443.12
TOS01004411,Subbiano,Arno,43.57167989702097,11.867846229902046,262.0,,Italy,Settore Idrologico Regione Toscana - SIR,Capolona,AR,Casentino,A1,248.76
TOS01004521,Ponte Ferrovia FI-Roma,Canale della Chiana,43.46685946029146,11.824400236013291,238.99,,Italy,Settore Idrologico Regione Toscana - SIR,Arezzo,AR,Chiana,C,229.75
TOS01004557,Laterina,Oreno,43.51039800104957,11.709367006647028,0.0,,Italy,Settore Idrologico Regione Toscana - SIR,Laterina Pergine Valdarno,AR,,A2,177.54
TOS01004561,Ponte Romito,Arno,43.502515001052004,11.675731006658182,0.0,,Italy,Settore Idrologico Regione Toscana - SIR,Laterina Pergine Valdarno,AR,,A2,160.41
TOS01004568,Bucine,Ambra,43.48352855589643,11.618680322817069,,,Italy,Settore Idrologico Regione Toscana - SIR,Bucine,AR,Valdarno Superiore,A2,169.73
TOS01004571,Montevarchi,Arno,43.541211501082834,11.566208000183233,133.8,,Italy,Settore Idrologico Regione Toscana - SIR,Montevarchi,AR,Valdarno Superiore,A2,132.23
TOS01004591,Incisa Valle,Arno,43.68984947731679,11.45619132601989,108.42,,Italy,Settore Idrologico Regione Toscana - SIR,Figline e Incisa Valdarno,FI,Valdarno Superiore,A2,103.11
TOS01004611,Bilancino,Sieve,43.97497194404387,11.289821735559974,0.0,,Italy,Settore Idrologico Regione Toscana - SIR,Barberino di Mugello,FI,Sieve,M,213.39
TOS01004621,S. Piero a Sieve-Sieve,Sieve,43.96510547112711,11.328012679540539,222.0,,Italy,Settore Idrologico Regione Toscana - SIR,Scarperia e San Piero,FI,Sieve,M,195.85
TOS01004623,S. Piero a Sieve-Carza,Carza,43.95905776851592,11.322347404445132,,,Italy,Settore Idrologico Regione Toscana - SIR,Scarperia e San Piero,FI,Sieve,M,201.61
TOS01004625,Dicomano,Sieve,43.886088019269145,11.525412172944327,148.0,,Italy,Settore Idrologico Regione Toscana - SIR,Dicomano,FI,Sieve,M,141.87
TOS01004641,Fornacina,Sieve,43.800786792090584,11.466156927035316,102.0,,Italy,Settore Idrologico Regione Toscana - SIR,Rufina,FI,Sieve,M,93.44
TOS01004642,Fornacina 2 ul,Sieve,43.80123591602331,11.467605319902864,102.0,,Italy,Settore Idrologico Regione Toscana - SIR,Rufina,FI,Sieve,M,93.44
TOS01004659,Nave di Rosano,Arno,43.77119747862404,11.422815592102458,78.84,,Italy,Settore Idrologico Regione Toscana - SIR,Rignano sull'Arno,FI,Valdarno Superiore,A3,72.27
TOS01004661,Nave Rosano valle,Arno,43.77430250709228,11.413956707076347,0.0,,Italy,Settore Idrologico Regione Toscana - SIR,Bagno a Ripoli,FI,Valdarno Medio Firenze,A3,69.43
