,obsnm,station_name,gauge_id,mggvcd,bbsncd,sbsncd,obsopndt,obskdcd,river,area,rvwdt,bedslp,rvmjctdis,wsrdis,addr,longitude_dms,latitude_dms,tmx,tmy,altitude,wltel,tdeyn,mxgrd,sistartobsdh,siendobsdh,olstartobsdh,olendobsdh,longitude,latitude,country,source
0,평창군(송정교),Pyeongchanggun(Songjeonggyo),1001602,기후에너지환경부,한강,100108,2015-12-30,T/M,오대천,229.84,,,33.3,,강원특별자치도 평창군 진부면 하진부리 송정교,128-33-04,37-37-27 ,336935,459417,511.589,520.43,N,5.9,2015123010,2025111001,20151230,20251110,128.5511111111111,37.62416666666667,South Korea,WAMIS Open API
1,태백시(무사교),Taebaeksi(Musagyo),1001603,한국수자원공사,한강,100101,2005-05-01,T/M,,,,,,,강원특별자치도 태백시 상사미동 ,128-59-40,37-18-54 ,376803,425838,687.824,,N,3.8,2015080416,2025111001,20150803,20251109,128.99444444444444,37.315,South Korea,WAMIS Open API
2,송천1교,Song Cheon 1 Kyo,1001605,한국수력원자력,한강,100105,2013-11-30,T/M,송천,123.45,,,3.7,,강원특별자치도 평창군 대관령면 횡계리,128-42-35,37-40-05 ,350849,464532,724.782,731.705,N,,2013113000,2025111001,20131129,20251110,128.7097222222222,37.668055555555554,South Korea,WAMIS Open API
3,삼척시(번천교),Samcheoksi(Bunchungyo),1001607,한국수자원공사,한강,100101,2006-11-01,T/M,,,,,,,강원특별자치도 삼척시 하장면 번천리 천375,128-59-47,37-21-52 ,376860,431330,718.848,,N,,2015080416,2025111001,20150803,20251109,128.99638888888887,37.364444444444445,South Korea,WAMIS Open API
4,삼척시(광동댐),Samcheoksi(Gwangdongdam),1001610,한국수자원공사,한강,100102,1989-01-01,T/M,골지천,125.0,,,25,,강원특별자치도 삼척시 하장면 숙암리 산104,128-56-50,37-20-37 ,372551,428926,,644.122,N,14.2,,,,,128.94722222222222,37.343611111111116,South Korea,WAMIS Open API
5,삼척시(광동교),Samcheoksi(Gwangdonggyo),1001613,한국수자원공사,한강,100102,2013-04-01,T/M,,,,,,,강원특별자치도 삼척시 하장면 광동리 천261,128-56-56,37-20-91 ,372665,430594,,,N,5,2015080416,2025111001,20150803,20251109,128.9488888888889,37.35861111111112,South Korea,WAMIS Open API
6,삼척시(갈밭교),Samcheoksi(Galbatgyo),1001615,한국수자원공사,한강,100102,2005-05-01,T/M,,,,,,,강원특별자치도 삼척시 하장면 갈전리 천679-1000,128-54-50,37-22-18 ,369534,431980,,,N,5,2015080416,2025111001,20150803,20251109,128.9138888888889,37.37166666666667,South Korea,WAMIS Open API
7,정선군(송계교),Jeongseongun(Songgyegyo),1001620,기후에너지환경부,한강,100103,1962-07-01,T/M,임계천,161.07,160,160,3.14,17.4,강원특별자치도 정선군 임계면 봉산리 송계교,128-50-57,37-29-39 ,363534,445463,491.02,496.562,N,5,1972081902,2025111001,19621101,20251110,128.8491666666667,37.494166666666665,South Korea,WAMIS Open API
8,정선군(혈천교),Jeongseongun(Hyulcheongyo),1001622,기후에너지환경부,한강,100102,2010-11-11,T/M,골지천,285.96,,,26.73,,강원특별자치도 정선군 임계면 낙천리 혈천교,128-50-49,37-27-53 ,363401,442191,479.382,488.837,N,7,2010122112,2025111001,20101221,20251110,128.84694444444446,37.46472222222223,South Korea,WAMIS Open API
9,정선군(오장2교),Jeongseongun(Ojang2gyo),1001623,기후에너지환경부,한강,100106,2024-11-12,T/M,송천,244.6,,,10.14,,강원도 정선군 여량면 구절리 오장2교,128-44-16,37-31-53 ,353606,449407,443.247,454.759,N,9,2024122901,2025111001,20241229,20251110,128.73777777777775,37.53138888888889,South Korea,WAMIS Open API
