gauge_id,station_name,river,latitude,longitude,altitude,area,country,source
anyksciu-vms,Anykščių VMS,Šventoji,55.520924,25.091461,,,Lithuania,Meteo.lt
aunuvenu-vms,Aunuvėnų VMS,Aunuva,55.850369,22.765429,,,Lithuania,Meteo.lt
babtu-vms,Babtų VMS,Nevėžis,55.105762,23.782552,,,Lithuania,Meteo.lt
bernatoniu-levuo-vms,Bernatonių VMS,Lėvuo,55.793849,24.281908,,,Lithuania,Meteo.lt
bernatoniu-sanziles-vms,Bernatonių VMS,Sanžilės kanalas,55.788833,24.279353,,,Lithuania,Meteo.lt
birstono-vms,Birštono VMS,Nemunas,54.61352,24.033594,,,Lithuania,Meteo.lt
buivydziu-vms,Buivydžių VMS,Neris,54.836266,25.741858,,,Lithuania,Meteo.lt
civoniu-vms,Čivonių VMS,Šlavantas,54.130368,23.635849,,,Lithuania,Meteo.lt
darsuniskio-vms,Darsūniškio VMS,Nemunas,54.73433,24.11369,,,Lithuania,Meteo.lt
drabuzninku-vms,Drabužninkų VMS,Spindžius,54.572739,24.669575,,,Lithuania,Meteo.lt
druskininku-vms,Druskininkų VMS,Nemunas,54.018664,23.983581,,,Lithuania,Meteo.lt
dubininko-vms,Dubininko VMS,Skroblus,54.090454,24.294633,,,Lithuania,Meteo.lt
eiduku-vms,Eidukų VMS,Upita,55.5907,21.5891,,,Lithuania,Meteo.lt
girutiskes-vms,Girutiškės VMS,Šventas,55.603315,26.318259,,,Lithuania,Meteo.lt
guntauninku-vms,Guntauninkų VMS,Svyla,55.251342,26.594287,,,Lithuania,Meteo.lt
jasiunu-vms,Jašiūnų VMS,Merkys,54.434877,25.327865,,,Lithuania,Meteo.lt
jonavos-vms,Jonavos VMS,Neris,55.075005,24.29199,,,Lithuania,Meteo.lt
josvainiu-vms,Josvainių VMS,Šušvė,55.242395,23.832754,,,Lithuania,Meteo.lt
juodkrantes-vms,Juodkrantės VMS,Kuršių marios,55.533293,21.121437,,,Lithuania,Meteo.lt
kacergiskes-vms,Kačergiškės VMS,Dysna,55.355261,26.42559,,,Lithuania,Meteo.lt
kamorunu-vms,Kamorūnų VMS,Vilkas,54.119327,23.813996,,,Lithuania,Meteo.lt
kartenos-vms,Kartenos VMS,Minija,55.909629,21.467874,,,Lithuania,Meteo.lt
kauno-vms,Kauno VMS,Nemunas,54.882091,23.926865,,,Lithuania,Meteo.lt
klaipedos-juru-uosto-vms,Klaipėdos jūrų uosto VMS,Baltijos jūra,55.713148,21.11915,,,Lithuania,Meteo.lt
klaipedos-vms,Klaipėdos VMS,Akmena-Danė,55.755884,21.135223,,,Lithuania,Meteo.lt
kretingos-vms,Kretingos VMS,Akmena-Danė,55.860562,21.220636,,,Lithuania,Meteo.lt
kudirkos-naumiescio-vms,Kudirkos Naumiesčio VMS,Šešupė,54.77723,22.86552,,,Lithuania,Meteo.lt
kulynu-vms,Kūlynų VMS,Leitė,55.247873,21.482476,,,Lithuania,Meteo.lt
kupiskio-vms,Kupiškio VMS,Lėvuo,55.833417,24.93249,,,Lithuania,Meteo.lt
kvetku-vms,Kvetkų VMS,Nemunėlis,56.151452,25.140653,,,Lithuania,Meteo.lt
kyburiu-vms,Kyburių VMS,Yslykis,56.246224,24.238581,,,Lithuania,Meteo.lt
lampedziu-vms,Lampėdžių VMS,Nemunas,54.906414,23.817574,,,Lithuania,Meteo.lt
lankupiu-klaipedos-vms,Lankupių VMS,Klaipėdos kanalas,55.492184,21.337453,,,Lithuania,Meteo.lt
lankupiu-minija-vms,Lankupių VMS,Minija,55.483301,21.36597,,,Lithuania,Meteo.lt
lazdenu-vms,Lazdėnų VMS,Nemunas,55.124307,21.759532,,,Lithuania,Meteo.lt
lazinku-vms,Lazinkų VMS,Birvėta,55.284716,26.784597,,,Lithuania,Meteo.lt
leckavos-vms,Leckavos VMS,Venta,56.390768,22.231794,,,Lithuania,Meteo.lt
likenu-vms,Likėnų VMS,Smardonė,56.19808,24.620299,,,Lithuania,Meteo.lt
liubavo-vms,Liubavo VMS,Šešupė,54.35698,23.063608,,,Lithuania,Meteo.lt
liukoniu-vms,Liukonių VMS,Širvinta,55.026816,24.675293,,,Lithuania,Meteo.lt
lyduvenu-vms,Lyduvėnų VMS,Dubysa,55.505109,23.089659,,,Lithuania,Meteo.lt
lynezerio-vms,Lynežerio VMS,Beržupis,54.062111,24.571774,,,Lithuania,Meteo.lt
miestaliu-vms,Miestalių VMS,Tenenys,55.433132,21.499001,,,Lithuania,Meteo.lt
