gauge_id,station_name,river,latitude,longitude,altitude,area,country,source
4epetroleumhaven,4e Petroleumhaven,4e Petroleumhaven,51.953524,4.140491,,,Netherlands,Rijkswaterstaat WaterWebservices
7epetroleumhaven,7e Petroleumhaven,7e Petroleumhaven,51.915615,4.21277,,,Netherlands,Rijkswaterstaat WaterWebservices
a12,A12 platform,A12 platform,55.383333,3.8,,,Netherlands,Rijkswaterstaat WaterWebservices
aa.helmond,"Aa, Helmond","Aa, Helmond",51.488763,5.682549,,,Netherlands,Rijkswaterstaat WaterWebservices
aadorp,Aadorp,Aadorp,52.3726,6.6333,,,Netherlands,Rijkswaterstaat WaterWebservices
aakvlaai.badstrand,"Aakvlaai, badstrand","Aakvlaai, badstrand",51.723572,4.864773,,,Netherlands,Rijkswaterstaat WaterWebservices
aalst.deneswaarden,"Aalst, De Neswaarden","Aalst, De Neswaarden",51.785668,5.115173,,,Netherlands,Rijkswaterstaat WaterWebservices
aalst.derietschoof.1,"Aalst, De Rietschoof, meetpunt 1",strand,51.77674,5.125978,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.goorloop.wilhelminakanaal,"Aarle-Rixtel, Goorloop, Wilhelminakanaal","Aarle-Rixtel, Goorloop, Wilhelminakanaal",51.513289,5.612911,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.schabbert,"Aarle Rixtel, Schabbert","Aarle Rixtel, Schabbert",51.520597,5.654069,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.schabbert.beneden,"Aarle Rixtel, Schabbert, beneden","Aarle Rixtel, Schabbert, beneden",51.5212,5.6534,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.schabbert.boven,"Aarle Rixtel, Schabbert, boven","Aarle Rixtel, Schabbert, boven",51.5205,5.6542,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.schabbert.inlaat,"Aarle Rixtel, Schabbert, inlaat",Spuien,51.521269,5.653569,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.schabbert.kleplinks,"Aarle Rixtel, Schabbert, klep links","Aarle Rixtel, Schabbert, klep links",51.521261,5.653569,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.schabbert.kleprechts,"Aarle Rixtel, Schabbert, klep rechts","Aarle Rixtel, Schabbert, klep rechts",51.521267,5.653569,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.schabbert.uitlaat,"Aarle Rixtel, Schabbert, uitlaat",NettobalansUIT,51.521264,5.653569,,,Netherlands,Rijkswaterstaat WaterWebservices
aarlerixtel.whkgoorloop,"Aarle-Rixtel, WHK-Goorloop",AA21,51.513286,5.612912,,,Netherlands,Rijkswaterstaat WaterWebservices
aasterberg,Aasterberg,monding van de Geleenbeek,51.10176,5.834066,,,Netherlands,Rijkswaterstaat WaterWebservices
abbertstrand,Abbertstrand,Abbertstrand,52.51092,5.853608,,,Netherlands,Rijkswaterstaat WaterWebservices
adelaarsweg,Adelaarsweg,Hoge Vaart,52.328631,5.423878,,,Netherlands,Rijkswaterstaat WaterWebservices
alblasserdam,Alblasserdam,rechteroever nabij brug,51.856606,4.656146,,,Netherlands,Rijkswaterstaat WaterWebservices
alblasserdam.pijlstoep,"Alblasserdam, Pijlstoep","Alblasserdam, Pijlstoep",51.865838,4.645151,,,Netherlands,Rijkswaterstaat WaterWebservices
almeerderstrand,Almeerderstrand,Almeerderstrand,52.33544,5.138603,,,Netherlands,Rijkswaterstaat WaterWebservices
almelo,Almelo,Almelo,52.35632,6.620117,,,Netherlands,Rijkswaterstaat WaterWebservices
almen,Almen,Almen,52.165824,6.28472,,,Netherlands,Rijkswaterstaat WaterWebservices
almere.hollandsebrug,"Almere, Hollandse brug","Almere, Hollandse brug",52.3265,5.1376,,,Netherlands,Rijkswaterstaat WaterWebservices
almere.lagevaart,"Almere, Lage Vaart","Almere, Lage Vaart",52.398658,5.247623,,,Netherlands,Rijkswaterstaat WaterWebservices
almere.triathlon.a,"Almere, triathlon, punt A","Almere, triathlon, punt A",52.333802,5.200878,,,Netherlands,Rijkswaterstaat WaterWebservices
almere.triathlon.b,"Almere, triathlon, punt B","Almere, triathlon, punt B",52.329379,5.212075,,,Netherlands,Rijkswaterstaat WaterWebservices
almere.triathlon.c,"Almere, triathlon, punt C","Almere, triathlon, punt C",52.332949,5.219778,,,Netherlands,Rijkswaterstaat WaterWebservices
almerehaven.zwemstrand,"Almere-Haven, zwemstrand","Almere-Haven, zwemstrand",52.332849,5.212678,,,Netherlands,Rijkswaterstaat WaterWebservices
ameland.nes,"Ameland, Nes","Ameland, Nes",53.429766,5.759448,,,Netherlands,Rijkswaterstaat WaterWebservices
ameland.nes.badstrand,"Ameland, Nes, badstrand","Ameland, Nes, badstrand",53.462079,5.778186,,,Netherlands,Rijkswaterstaat WaterWebservices
ameland.noord,"Ameland, noord","Ameland, noord",53.46723,5.788562,,,Netherlands,Rijkswaterstaat WaterWebservices
ameland.oost,"Ameland, oost","Ameland, oost",53.455501,5.971668,,,Netherlands,Rijkswaterstaat WaterWebservices
ameland.westgat,"Ameland, Westgat",platform,53.491639,5.941194,,,Netherlands,Rijkswaterstaat WaterWebservices
amelandergat,Amelander Gat,Amelander Gat,53.467071,5.567896,,,Netherlands,Rijkswaterstaat WaterWebservices
amelanderzeegat.1.1,"Amelander zeegat, 1 .1",boei,53.507601,5.481405,,,Netherlands,Rijkswaterstaat WaterWebservices
amelanderzeegat.1.2,"Amelander zeegat, 1 .2",boei,53.507598,5.48442,,,Netherlands,Rijkswaterstaat WaterWebservices
amelanderzeegat.2.1,"Amelander zeegat, 2 .1",boei,53.477304,5.573963,,,Netherlands,Rijkswaterstaat WaterWebservices
amelanderzeegat.3.1,"Amelander zeegat, 3 .1",boei,53.450839,5.60365,,,Netherlands,Rijkswaterstaat WaterWebservices
amelanderzeegat.3.2,"Amelander zeegat, 3 .2",boei,53.449939,5.604699,,,Netherlands,Rijkswaterstaat WaterWebservices
amelanderzeegat.4.1,"Amelander zeegat, 4 .1",boei,53.421114,5.641855,,,Netherlands,Rijkswaterstaat WaterWebservices
amelanderzeegat.4.2,"Amelander zeegat, 4 .2",boei,53.424273,5.635406,,,Netherlands,Rijkswaterstaat WaterWebservices
amelanderzeegat.5.2,"Amelander zeegat, 5 .2",boei,53.393401,5.696857,,,Netherlands,Rijkswaterstaat WaterWebservices
amelandwestgat,Ameland Westgat platform,Ameland Westgat platform,53.49164,5.94114,,,Netherlands,Rijkswaterstaat WaterWebservices
amerikahaven.2,"Amerikahaven, 2","Amerikahaven, 2",52.411987,4.774766,,,Netherlands,Rijkswaterstaat WaterWebservices
amerikahaven.zuid,"Amerikahaven, zuid","Amerikahaven, zuid",52.401564,4.77538,,,Netherlands,Rijkswaterstaat WaterWebservices
amerongen.beneden,"Amerongen, beneden","Amerongen, beneden",51.974,5.404,,,Netherlands,Rijkswaterstaat WaterWebservices
amerongen.boven,"Amerongen, boven","Amerongen, boven",51.9753,5.4125,,,Netherlands,Rijkswaterstaat WaterWebservices
amerongen.eckenwiel,"Amerongen, Eck en Wiel","Amerongen, Eck en Wiel",51.983031,5.455764,,,Netherlands,Rijkswaterstaat WaterWebservices
ammerstol.dehem.badstrand,"Ammerstol, De Hem, badstrand","Ammerstol, De Hem, badstrand",51.941746,4.832526,,,Netherlands,Rijkswaterstaat WaterWebservices
amsteldiep,Amsteldiep,Amsteldiep,52.929371,4.911323,,,Netherlands,Rijkswaterstaat WaterWebservices
amsterdam.km25,"Amsterdam, km 25",IJtunnel,52.380775,4.905707,,,Netherlands,Rijkswaterstaat WaterWebservices
amsterdam.ndsmwerf,"Amsterdam, NDSM werf","Amsterdam, NDSM werf",52.399863,4.888014,,,Netherlands,Rijkswaterstaat WaterWebservices
amsterdam.schellingwouderbrug,"Amsterdam, Schellingwouderbrug","Amsterdam, Schellingwouderbrug",52.378673,4.967545,,,Netherlands,Rijkswaterstaat WaterWebservices
amsterdam.surinamekade,"Amsterdam, Surinamekade","Amsterdam, Surinamekade",52.37726,4.949568,,,Netherlands,Rijkswaterstaat WaterWebservices
andel.maas,"Andel, Maas","Andel, Maas",51.794083,5.050327,,,Netherlands,Rijkswaterstaat WaterWebservices
andel.waal,"Andel, Waal","Andel, Waal",51.794799,5.049162,,,Netherlands,Rijkswaterstaat WaterWebservices
andijk,Andijk,"voorheen IJsselmeer, meetpaal 38",52.7503,5.265049,,,Netherlands,Rijkswaterstaat WaterWebservices
ane.h56,"Ane, H56","Ane, H56",52.611501,6.658118,,,Netherlands,Rijkswaterstaat WaterWebservices
antwerpen.bonapartedok,"Antwerpen, Bonapartedok","Antwerpen, Bonapartedok",51.22835,4.399894,,,Netherlands,Rijkswaterstaat WaterWebservices
antwerpen.loodsgebouw,"Antwerpen, Loodsgebouw","Antwerpen, Loodsgebouw",51.227537,4.399894,,,Netherlands,Rijkswaterstaat WaterWebservices
antwerpen.prosperpolder,"Antwerpen, Prosperpolder","Antwerpen, Prosperpolder",51.342082,4.247633,,,Netherlands,Rijkswaterstaat WaterWebservices
antwerpskanaalpand.km2,"Antwerps Kanaalpand, kilometer 02","Antwerps Kanaalpand, kilometer 02",51.38782,4.245773,,,Netherlands,Rijkswaterstaat WaterWebservices
appelzak.1kmuitdekust,"Appelzak, 1 km uit de kust","Appelzak, 1 km uit de kust",51.380221,3.365682,,,Netherlands,Rijkswaterstaat WaterWebservices
