gauge_id,gauge_name,river,area,gauge_altitude,latitude,longitude
149180010,KRZYŻANOWICE,Odra (1),5876.08,184.806,49.99362083333333,18.28730861111111
149180020,CHAŁUPKI,Odra (1),4659.18,192.727,49.921906388888885,18.32799861111111
149180030,ŁAZISKA,Olza (114),1069.58,199.352,49.92451944444444,18.443104444444444
149180040,GOŁKOWICE,Szotkówka (1148),104.63,207.436,49.925778055555554,18.4963275
149180050,ZEBRZYDOWICE,Piotrówka (1146),113.66,224.881,49.88013611111111,18.61327916666667
149180060,CIESZYN,Olza (114),449.02,266.239,49.74592333333334,18.629741111111112
149180070,CIESZYN,Młynówka (11448),0.63,271.389,49.74624333333333,18.631334722222224
149180080,DROGOMYŚL,Wisła (2),326.12,253.594,49.88572472222222,18.749403611111116
149180090,MIZERÓW-BORKI,Pszczynka (2116),69.02,250.515,49.99876611111111,18.768581666666662
149180100,SKOCZÓW,Wisła (2),296.03,285.829,49.80324333333333,18.79153055555556
149180110,USTROŃ-OBŁAZIEC,Wisła (2),107.35,398.862,49.68052833333333,18.85035138888889
149180120,GÓRKI WIELKIE,Brennica (21114),81.47,324.085,49.772507777777776,18.85239138888889
149180130,ISTEBNA,Olza (114),34.63,534.009,49.57191472222223,18.892889166666667
149180140,WISŁA,Wisła (2),53.48,470.717,49.631972222222224,18.900750833333333
149180150,BRENNA-LEŚNICA,Leśnica (211146),22.44,401.859,49.72013416666667,18.90288972222222
149180160,WISŁA-CZARNE,Wisła (2),30.01,510.378,49.61879833333333,18.918517222222224
149180170,BRENNA-STAWY,Leśnica (211146),5.35,536.674,49.67378138888888,18.925921944444447
149180180,WISŁA-CZARNE,Biała Wisełka (2111152),14.82,551.577,49.618159166666665,18.9355425
149180190,GOCZAŁKOWICE II,Wisła (2),524.88,240.449,49.92502805555555,18.935568611111112
149180200,WISŁA-CZARNE,Wisła (2),11.23,553.378,49.60742388888889,18.92614277777778
149180210,ZABRZEG,Wisła (2),524.87,241.824,49.92533583333333,18.93514305555556
149180220,PSZCZYNA,Pszczynka (2116),185.62,240.22,49.97928,18.94591611111111
149180230,PODKĘPIE,Wapienica (21128),55.25,243.544,49.89553388888889,18.977373055555557
149180240,GOCZAŁKOWICE,Wisła (2),739.51,238.518,49.93160555555556,18.98579527777778
149180250,CZECHOWICE-DZIEDZICE,Iłownica (2112),201.34,240.733,49.91352416666667,18.98628305555556
149180300,OLZA,Odra (1),5828.32,186.162,49.954769722222224,18.32632222222222
149189998,ZEBRZYDOWICE,Pielgrzymówka (11468),59.3,227.439,49.88542472222222,18.62813833333333
149189999,GODÓW,Lesznica (11488),88.42,204.023,49.92854777777777,18.471904166666665
149190010,CZECHOWICE-BESTWINA,Biała (2114),113.83,258.853,49.891289444444446,19.0303325
149190020,KAMESZNICA,Bystra (213232),48.24,452.532,49.56795222222223,19.069701388888888
149190030,MIKUSZOWICE,Biała (2114),32.83,360.987,49.77939833333333,19.07425361111111
149190040,UJSOŁY,Woda Ujsolska (21322),102.8,520.172,49.49261111111111,19.11716
149190050,RAJCZA,Soła (2132),253.91,482.106,49.51402194444445,19.11645888888889
149190060,JAWISZOWICE,Wisła (2),973.42,231.591,49.97247972222223,19.122004722222226
149190070,ŁODYGOWICE,Żylica (213274),51.83,367.719,49.72725944444445,19.136018888888888
149190080,CIĘCINA,Soła (2132),413.63,383.276,49.62466722222222,19.14889638888889
149190090,ŻABNICA,Żabniczanka (213234),23.88,565,49.564610555555554,19.18039083333333
149190100,ŻYWIEC,Soła (2132),784.43,342.122,49.68633833333333,19.19318055555556
149190110,MIĘDZYBRODZIE BIALSKIE,Zb. Porąbka (21329399),1077.0,ND,49.78830027777778,19.20168333333333
149190120,CZANIEC-KOBIERNICE,Soła (2132),1130.57,281.664,49.84830611111112,19.22769083333333
149190130,ŁĘKAWICA,Kocierzanka (2132788),36.31,386.758,49.72808611111111,19.2615725
149190140,ŁĘKAWICA,Łękawka (213278),94.64,358.519,49.71179583333333,19.26214388888889
149190150,PEWEL MAŁA,Koszarawa (21324),204.71,405.239,49.658608055555554,19.30558027777778
149190160,RUDZE,Wieprzówka (21348),152.38,230.942,49.96160111111112,19.44256083333333
149190170,ZATOR,Skawa (2134),1150.75,220.816,49.999229166666666,19.445469444444445
149190180,WADOWICE,Skawa (2134),833.12,254.209,49.87732861111111,19.510982777777777
149190190,ZAWOJA,Skawica (21344),46.15,577.629,49.64055222222222,19.535273333333336
149190200,SUCHA BESKIDZKA,Stryszawka (21346),140.31,324.008,49.74331638888889,19.6011775
149190210,SUCHA BESKIDZKA,Skawa (2134),466.02,324.177,49.73938722222222,19.6089625
149190220,SKAWICA DOLNA,Skawica (21344),135.8,408.113,49.68597527777777,19.66362472222222
149190230,CZERNICHÓW-PROM,Wisła (2),7046.4,203.825,49.98143944444445,19.66310972222222
149190240,JABŁONKA,Czarna Orawa (8222),135.64,608.197,49.47062,19.690695833333333
149190250,JABŁONKA,Piekielnik (82224),77.37,609.651,49.47226777777778,19.69516583333333
149190260,OSIELEC,Skawa (2134),243.1,393.762,49.68337916666666,19.739256944444445
149190270,RADZISZÓW,Skawinka (21356),317.68,213.631,49.93998027777778,19.808935833333333
149190280,KONIÓWKA,Dunajec (214),132.11,725.937,49.39567361111112,19.818179166666667
149190290,JORDANÓW,Skawa (2134),96.6,443.062,49.63651055555555,19.830111388888888
149190300,KOŚCIELISKO-KIRY,Kirowa Woda (214112),34.72,920.916,49.27575638888889,19.868137222222224
149190310,STRÓŻA,Raba (2138),643.79,297.158,49.79680611111111,19.9248175
149190320,ZAKOPANE-DOL.STRĄŻYSKA,Młyniska (214122),3.62,910.873,49.27623555555555,19.93553361111111
149190330,ZBYDNIOWICE,Wilga (21372),48.97,227.502,49.97225611111112,19.9463975
149190340,RABKA 2,Raba (2138),91.77,469.183,49.61354777777778,19.948945833333333
