gauge_id,latitude,longitude
19B/01H,39.152,-9.302
03J/02H,41.795,-7.969
17H/04H,39.452,-8.188
15G/02H,39.679,-8.437
11H/02H,40.341,-8.208
21O/08H,38.778,-7.164
21O/03H,38.778,7.164
26J/01H,37.853,-7.965
04K/04A,41.57285,-7.731819
11H/01A,40.34072325,-8.19670825
17M/01A,39.347,-7.368
06S/01A,41.298,-6.471
28I/01A,37.503,-8.091
14H/01A,39.856,-8.224
30E/01A,37.204,-8.696
05O/01A,41.391,-7.05
04H/01A,41.652,-8.235
12M/01A,40.212,-7.387
12L/02A,40.309,-7.561
05P/01A,41.446,-6.901
11L/03A,40.364,-7.649
13H/05A,40.024,-8.312
11H/05A,40.436734,-8.264735
11K/02A,40.401,-7.684
03J/01A,41.761,-7.957
16K/01A,39.568,-7.816
08N/01AE,41.503,-8.164
12H/01A,40.309,-8.251
07K/01A,41.142,-7.708
02Q/01A,41.953,-6.779
27L/01A,37.669,-7.507
14O/01A,39.873,-7.076
07M/02A,41.167,-7.376
07K/02A,41.121,-7.775
22L/01A,38.538,-7.607
29M/04A,37.4702425,-7.493445556
07K/05A,41.058043,-7.671978
05R/01A,41.395,-6.66
17J/01A,39.48,-7.998
08H/01A,40.854,-8.303
05P/02A,41.369,-6.956
26F/01A,37.845,-8.612
30M/06A,37.253519,-7.487947
16H/01A,39.545,-8.323
15J/01A,39.812,-7.912
28G/02A,37.609,-8.453
12L/01AE,40.314,-7.595
13L/01AE,40.334,-7.633
07G/01A,41.074,-8.488
04J/08A,41.525288,-7.863249
09G/04A,40.714337,-8.353046
12N/01AE,40.259,-7.286
10K/01A,40.639,-7.783
06N/01A,41.305,-7.169
26G/01AE,37.881,-8.497
12I/01A,40.241,-8.157
17L/03A,39.395,-7.655
05K/02A,41.4938,-7.727
04I/01A,41.585,-8.138
14N/01A,39.946,-7.202
22M/01A,38.636,-7.406
20E/01A,38.998,-8.688
12O/01A,40.263,-7.151
22I/01A,38.659,-8.098
05T/01A,41.484,-6.28
19H/01A,39.053,-8.175
29I/01A,37.497,-8.061
27H/01A,37.736,-8.294
27H/03AE,37.789,-8.265
26E/01A,37.898,-8.761
18K/02A,39.326,-7.696
30L/01A,37.331,-7.518
24I/01A,38.187,-8.121
18F/03A,39.24760067,-8.589464748
13O/01A,40.045,-7.015
04F/01A,41.5495717,-8.537080799
23G/01A,38.419,-8.392
17L/01A,39.486,-7.557
07M/01A,41.008,-7.335
21A/01A,38.763,-9.419
03I/01A,41.689,-8.094
28G/01A,37.516,-8.44
13J/01A,40.09,-7.858
08P/01A,40.867,-6.893
14M/01A,39.969,-7.481
17B/01A,39.341,-9.314
08N/02AE,40.97,-7.312
06P/02AE,41.267,-7.016
24H/01A,38.246,-8.297
05O/02A,41.480776,-7.079466
02Q/02AE,41.95382583,-6.804194167
03J/04A,41.68122597,-7.984773617
03J/05A,41.683,-7.99
03I/04A,41.694585,-8.022775
06P/01A,41.2,-6.88
08L/01A,40.987,-7.535
03H/01A,41.759,-8.217
17C/06A,39.360089,-9.137291
19O/01A,39.096,-7.121
06M/01A,41.309,-7.445
24M/06A,38.197,-7.495
24M/07A,38.197,-7.495
24M/08A,38.16889,-7.490436
12J/01A,40.19,-7.846
03J/02AE,41.803,-7.876
02H/01A,41.871,-8.205
03J/03A,41.732,-7.861
24J/01A,38.275,-7.921
06K/05A,41.32,-7.8
30G/02A,37.238,-8.381
07P/01A,41.089,-6.998
04P/01A,41.557,-6.888
06O/09A,41.228605,-7.012504
30L/02A,37.278,-7.507
14I/01A,39.929,-8.127
20O/01A,38.996,-7.14
10M/01A,40.535,-7.335
07I/01A,41.088,-8.126
16G/03A,39.608725,-8.357725
21J/01A,38.705,-7.924
26M/01A,37.98,-7.45
06O/10A,41.202247,-7.092974
16K/02A,39.531,-7.833
30G/01A,37.274,-8.374
11L/01A,40.386,-7.62
19J/01A,39.015,-7.976
27H/02AE,37.791,-8.237
22K/01A,38.511,-7.71
16I/02A,39.508,-8.094
30G/11AE,37.28694,-8.471098
06N/02AE,41.176,-7.219
06O/01A,41.29543817,-7.174163649
05S/01A,41.386,-6.374
13L/02A,40.019,-7.556
07O/02A,41.13522051,-7.114295478
16L/01AE,39.516,-7.583
09H/06A,40.742218,-8.319449
26I/01A,37.92960497,-8.081894325
12O/02A,40.261,-7.143
06O/02A,41.32,-7.06
06K/01A,41.285,-7.828
07H/01A,41.098,-8.262
03G/01A,41.812,-8.349
11L/02A,40.4,-7.589
06M/06A,41.218872,-7.422642
29M/03H,37.471,-7.469
23F/01H,38.37,-8.507
23I/02H,38.439,-8.158
17C/01H,39.495,-9.093
17I/01H,39.481,-8.148
14H/02H,39.98,-8.275
11H/01H,40.34,-8.228
18F/02H,39.213,-8.636
17G/02H,39.461,-8.375
15K/01H,39.735,-7.749
03J/01H,41.803,-7.88
03J/06H,41.803,-7.878
08H/05H,40.954,-8.173
08H/01H,40.954,-8.173
17I/02H,39.462,-8.041
24J/01H,38.244,-7.968
31F/04H,37.138,-8.596
06I/01H,41.269,-8.078
06I/04H,41.268942,-8.075111
02I/01H,41.985,-8.163
24L/01H,38.3,-7.554
11J/01H,40.41,-7.932
09F/03H,40.674,-8.563
25M/01H,38.167,-7.412
24O/01H,38.172,-7.129
07F/04H,41.082,-8.52
03D/01H,41.807,-8.848
30L/04H,37.293,-7.576
21A/06H,38.74403056,-9.403258333
