gauge_id,gauge_name,river,longitude,latitude,area
1020,Cmurek,Mura,15.7951602232,46.709625604,9796.4
1030,Vizjakov kanal,Mura - kanal Vizjak,,,
1040,11 Mlinski kanal,Mlinski potok,,,
1050,Črnci,Mura,15.8704360283,46.7216743559,
1058,Gornja Radgona,Mura,,,10197.0
1060,Gornja Radgona I,Mura,16.0002534868,46.6815095464,10197.2
1070,Petanjci,Mura,16.0592441205,46.648820891,10391.44
1080,Veržej,Mura,16.183636107,46.5891159917,
1089,Mursko Središče,Mura,16.4485054002,46.5151198029,10919.83
1090,Petišovci,Mura,16.4513510542,46.5167483495,
1100,Cankova,Kučnica,16.0262466389,46.7113224486,31.98
1110,Zgornja Ščavnica,Ščavnica,15.8431509837,46.6582655131,16.36
1120,Ivanjševci,Ščavnica,15.963623551,46.6206036119,56.39
1130,Žihlava,Ščavnica,16.0517631159,46.5526586266,
1138,Pristava,Ščavnica,16.2362149719,46.5193661129,272.5
1140,Pristava I,Ščavnica,16.2367260344,46.5189106904,272.77
1150,Branoslavci,Turja,16.1283655917,46.5294788803,42.4
1160,Sotina,Ledava,16.0296269602,46.822924381199996,47.75
1165,Nuskova,Ledava,16.0324682789,46.8104373152,56.57
1170,Pertoča,Ledava,16.046101647,46.7721191605,71.37
1180,Pertoča I,Ledava,16.0461889719,46.771218611,71.55
1190,Domajinci,Ledava,16.0455476136,46.7516098397,109.36
1200,Domajinci I,Ledava,16.04553932,46.7444118724,110.66
1210,Polana,Ledava,16.1421771544,46.6781652833,208.2
1220,Polana I,Ledava,16.1420767617,46.6783642333,209.37
1240,Murska Sobota,Ledava,16.1777058179,46.6647584194,258.21
1250,Dolnja Lendava,Ledava,16.4552694467,46.560968468,
1260,Čentiba,Ledava,16.4825585638,46.5355587212,861.67
1270,Dolnji Slaveči,Lukaj potok,16.0659603909,46.7843524756,28.48
1280,Krašči,Črnec,16.0271297832,46.7468279858,6.28
1290,Mačkovci,Mačkovski potok,16.1698201578,46.78981614,5.28
1300,Martjanci,Martjanski potok,16.191112695,46.6866459752,28.25
1310,Kobilje,Kobiljski potok,16.3944417095,46.6891352181,48.64
1312,Kobilje I,Kobiljski potok,16.3983386892,46.6856055371,48.68
1320,Mostje,Kobiljski potok,16.4372375725,46.5943986886,246.63
1330,Dolnja Lendava,Kobiljski potok,16.4571167789,46.5617547619,
1335,Središče,Ivanjševski potok,16.3171121475,46.7702925238,8.37
1340,Dolnja Lendava,Črnec,16.4530165427,46.5596474221,99999.99
1350,Hodoš,Velika Krka,16.3297894702,46.8171310818,105.8
1355,Hodoš I,Velika Krka,16.3379818157,46.8145162894,106.13
2005,Črneče,Drava,14.9887086499,46.5982080345,12059.98
2010,HE Dravograd,Drava,15.0234915901,46.5869590386,12071.7
2030,Vuhred,Drava,15.2833418321,46.5883201452,13001.32
2032,Vuhred I,Drava,15.3081551024,46.5911352721,
2080,Maribor,Drava,15.6504743421,46.555689456,13444.8
2100,Zgornji Breg,Drava,15.8626848059,46.4234560223,
2110,Ptuj,Drava,15.8724092794,46.4172185975,13695.2
2120,Spodnji Breg,Drava,15.8923177762,46.4054125103,
2130,Zabovci,Drava,15.9131281522,46.3975098938,
2138,Jez Markovci,Drava,15.9310368365,46.3875575737,13700.83
2140,HE Formin,Drava kanal HE Formin,16.0387360969,46.4029165135,1.08
2149,Borl,Drava,16.0010746965,46.371291162,14642.08
2150,Borl I,Drava,16.0010746965,46.371291162,14642.08
2160,Zavrč,Drava,16.0417423997,46.388654181,14691.52
2190,Ormož kopališče,Drava,16.1480601546,46.4060102921,
2200,Ormož,Drava,16.1612603487,46.4028176493,15366.5
2210,Topla,Meža,14.8087058309,46.4665006746,50.63
