gauge_id,station_name,river,REGIMEN_RIO,COD_SAIH,COD_DMA,COD_MASA_AGUA,FOTOGRAFIA,PLANO,SECCION,ORGANISMO_CUENCA_VISOR,COD_SITUACION_ESTACION,SITUACION_ESTACION,ESTADO,ANO_INICIO_MEDIDAS,ANO_FIN_MEDIDAS,COD_SAICA,COORD_UTMX_H30_ETRS89,COORD_UTMY_H30_ETRS89,altitude,CUENCA_RECEP,area,NUM_CUENCA,HOJA_1_50000,SISTEMA_EXPLO,ESCALA_RC,LONG_RC,ANCH_RC,CASETA_RC,PASARELA_RC,PROPIETARIO,SENSOR_1,TIPO_CASETA_RC,TIPO_ESC_RC,TIPO_ESTACION,TRANSM_1,VERTEDERO_RC,TIPO_VERT_RC,TERMINO_MUNICIPAL,PROVINCIA
1010,PUENTE QUEROL,Sil,,,,ES010MSPFES414MAR000770,N.D.jpg,N.D.jpg,N.D.jpg,C.H. MIÑO-SIL,4,RÍO,BAJA,1913.0,1959.0,,204647,4716265,490.0,833,7983.0,1414.0,PONFERRADA (158),,,,,,,ESTADO,,,,,,,,Ponferrada,León
1011,RUAPETÍN,Sil,,,,ES010MSPFES436MAR001180,N.D.jpg,N.D.jpg,N.D.jpg,C.H. MIÑO-SIL,4,RÍO,BAJA,1912.0,1940.0,,160356,4701177,282.0,6346,7983.0,1436.0,BARCO DE VALDEORRAS (190),SIL INFERIOR,,,,,,,,,,,,,,Rua,Orense
1012,VILLAFRANCA DEL BIERZO,Burbia,,,,ES010MSPFES426MAR000932,N.D.jpg,N.D.jpg,N.D.jpg,C.H. MIÑO-SIL,4,RÍO,BAJA,1914.0,1938.0,,187476,4724567,520.0,208,522.0,1426.0,PONFERRADA (158),SIL SUPERIOR,,,,,,,,,,,,,,Villafranca del Bierzo,León
1018,PUENTE QUIROGA,Sil,,,,ES010MSPFES454MAR001530,N.D.jpg,N.D.jpg,N.D.jpg,C.H. MIÑO-SIL,4,RÍO,BAJA,1913.0,1952.0,,147130,4710663,219.0,6346,7983.0,1454.0,PUEBLA DE TRIVES (189),CABE,,,,,,,,,,,,,,Ribas de Sil,Lugo
1019,PACIOS DE VEIGA,Cabe,,,,ES010MSPFES463MAR001660,FR1019.jpg,N.D.jpg,SR1019.jpg,C.H. MIÑO-SIL,4,RÍO,BAJA,1944.0,1952.0,,139083,4726508,405.0,50,734.0,1463.0,MONFORTE DE LEMOS (156),CABE,,,,,,,,,,,,,,Puebla del Brollon,Lugo
1033,PUENTE DE SAMA,Nalón,,,,ES018MSPFES171MAR001380,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1912.0,1916.0,,282234,4797522,208.0,557,4866.0,,MIERES (53),NALON,,,,,,,,,,,,,,Langreo,Asturias
1034,PUENTE DELLAS SEGADAS,Nalón,,,,ES018MSPFES171MAR001380,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1912.0,1931.0,,267694,4798922,129.0,663,4866.0,,PROAZA (52),NALON,,,,,,,,,,,,,,Ribera De Arriba,Asturias
1036,PUENTE DE SOVILLA,Aller,,,,ES018MSPFES161MAR001220,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1912.0,1916.0,,273452,4786550,285.0,374,375.0,,MIERES (53),NALON,,,,,,,,,,,,,,Mieres,Asturias
1038,SOVILLA - VÍA NORTE,Caudal,,,,ES018MSPFES161MAR001210,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1914.0,1916.0,,273256,4786444,285.0,313,923.0,,MIERES (53),NALON,,,,,,,,,,,,,,Mieres,Asturias
1040,FORNO,Nalón,,,,ES018MSPFES194MAR001713,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1912.0,1920.0,,259628,4803830,80.0,1657,4866.0,,GRADO (28),NALON,,,,,,,,,,,,,,Oviedo,Asturias
1041,TRUBIA,Trubia,,,,ES018MSPFES170MAR001320,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1913.0,1919.0,,257471,4800741,113.0,474,484.0,,PROAZA (52),NALON,,,,,,,,,,,,,,Oviedo,Asturias
1042,TRUBIA,Nalón,,,,ES018MSPFES194MAR001713,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1912.0,1919.0,,258949,4808035,60.0,2530,4866.0,,GRADO (28),NALON,,,,,,,,,,,,,,Las Regueras,Asturias
1043,SAN PEDRO DE NORA,Nora,,,,ES018MSPFES194MAR001713,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1915.0,1952.0,,260108,4806130,78.0,372,382.0,,GRADO (28),NALON,,,,,,,,,,,,,,Oviedo,Asturias
1047,PUENTE DE SAN ROMÁN,Nalón,,,,ES018MSPFES194MAR001712,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1912.0,1918.0,,250380,4815391,78.0,2846,4866.0,,GRADO (28),NALON,,,,,,,,,,,,,,Oviedo,Asturias
1050,PUENTE DE LA FLORIDA,Narcea,,,,ES018MSPFES189MAR001660,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1915.0,1931.0,,222457,4799365,220.0,1011,1850.0,,BELMONTE DE MIRANDA (51),NALON,,,,,,,,,,,,,,Tineo,Asturias
1054,PUENTE DE FORCINAS,Nalón,,,,ES018MSPFES194MAR001712,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1913.0,1931.0,,248989,4818421,16.0,4761,4866.0,,GRADO (28),NALON,,,,,,,,,,,,,,Pravia,Asturias
1080,ANDOÁIN,Oria,ALTERADO,A149,ESOLE382,ES017MSPFES028MAR002662,FR1080.jpg,PR1080.jpg,SR1080.jpg,C.H. CANTÁBRICO,4,RÍO,ALTA,1952.0,,Q112,579070,4786632,38.0,775,861.0,,SAN SEBASTIÁN (64),ORIA,Sí,,,Sí,Sí,ESTADO,Limnígrafo-Boya contrapeso,DE FÁBRICA,EXTERIOR,CAUCE NATURAL,VSAT-Remota,,,Andoáin,Guipúzcoa
1100,RÍO BIDASOA EN LEGASA,Bidasoa,,A138,,ES017MSPFES002MAR002380,FR1100.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,ALTA,2011.0,,,610157,4776207,120.0,280,,,Sumbilla (90),BIDASOA,,,,,,,Radar,,,Cauce natural,GPRS-Microrremota,,,Legasa (Bertiz - Arana),Navarra
1103,ALZOLA,Deba,,A800,,ES017MSPFES111R042020,N.D.jpg,N.D.jpg,N.D.jpg,C.H. CANTÁBRICO,4,RÍO,BAJA,1969.0,2003.0,,548150,4785363,44.0,456,531.0,,ÉIBAR (63),DEVA,,,,,,ESTADO,,,,,,,,Elgóibar,Guipúzcoa
1105,EREÑOZU,Urumea,,A900,,ES017MSPFES018MAR002491,FR1105.jpg,PR1105.jpg,SR1105.jpg,C.H. CANTÁBRICO,4,RÍO,ALTA,1969.0,,,585932,4788406,26.0,215,266.0,,SAN SEBASTIÁN (64),URUMEA,Sí,,,Sí,Sí,ESTADO,Limnígrafo-Boya contrapeso,DE FÁBRICA,EXTERIOR,CAUCE NATURAL,GPRS-Microrremota,,,Hernani,Guipúzcoa
