key,updated,title,summary,link,name,id,owner,measuringStations,active,from,to,latitude,longitude,region,catchmentName,catchmentNumber,catchmentSize,gauge_id,station_name,river,area,country,source,altitude
2357,1763118000000.0,Vattenföring (Dygn) - ABISKO,Latitud: 68.1936 Longitud: 19.9859,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2357.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2357.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2357.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ABISKO,2357,SMHI,CORE,True,1983-12-31 22:00:00,2025-11-14 22:00:00,68.1936,19.9859,1,TORNEÄLVEN,1000,3345.5,2357,ABISKO,TORNEÄLVEN,3345.5,Sweden,SMHI HydroObs,
2000,1573682400000.0,Vattenföring (Dygn) - ACKSJÖN NEDRE,Latitud: 59.1018 Longitud: 17.3744,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2000.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2000.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2000.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ACKSJÖN NEDRE,2000,SMHI,CORE,False,1968-12-31 22:00:00,2019-11-13 22:00:00,59.1018,17.3744,63,TROSAÅN,63000,0.8,2000,ACKSJÖN NEDRE,TROSAÅN,0.8,Sweden,SMHI HydroObs,
2364,813189600000.0,Vattenföring (Dygn) - ALABO,Latitud: 57.5264 Longitud: 13.7033,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2364.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2364.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2364.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ALABO,2364,SMHI,CORE,False,1984-05-18 22:00:00,1995-10-08 22:00:00,57.5264,13.7033,101,NISSAN,101000,498.5,2364,ALABO,NISSAN,498.5,Sweden,SMHI HydroObs,
1890,1741910400000.0,Vattenföring (Dygn) - ALFTA KRV,Latitud: 61.3457 Longitud: 16.0003,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1890.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1890.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1890.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ALFTA KRV,1890,Extern,CORE,True,1960-01-01 00:00:00,2025-03-14 00:00:00,61.3457,16.0003,48,LJUSNAN,48000,3130.4,1890,ALFTA KRV,LJUSNAN,3130.4,Sweden,SMHI HydroObs,
1242,-662781600000.0,Vattenföring (Dygn) - ALLSTAKAN,Latitud: 59.8859 Longitud: 12.5220,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1242.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1242.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1242.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ALLSTAKAN,1242,SMHI,CORE,False,1929-12-31 22:00:00,1948-12-30 22:00:00,59.8859,12.522,108,GÖTA ÄLV,108000,790.0,1242,ALLSTAKAN,GÖTA ÄLV,790.0,Sweden,SMHI HydroObs,
2231,1700431200000.0,Vattenföring (Dygn) - ALMBRO,Latitud: 59.1956 Longitud: 15.2453,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2231.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2231.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2231.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ALMBRO,2231,SMHI,CORE,False,1979-12-31 22:00:00,2023-11-19 22:00:00,59.1956,15.2453,61,NORRSTRÖM,61000,453.9,2231,ALMBRO,NORRSTRÖM,453.9,Sweden,SMHI HydroObs,
2356,1763118000000.0,Vattenföring (Dygn) - ALTTAJÄRVI,Latitud: 67.8214 Longitud: 20.5404,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2356.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2356.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2356.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ALTTAJÄRVI,2356,SMHI,CORE,True,1984-08-14 22:00:00,2025-11-14 22:00:00,67.8214,20.5404,1,TORNEÄLVEN,1000,30.4,2356,ALTTAJÄRVI,TORNEÄLVEN,30.4,Sweden,SMHI HydroObs,
1239,-1167696000000.0,Vattenföring (Dygn) - ANDERSÅN,Latitud: 62.5909 Longitud: 12.2202,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1239.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1239.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1239.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ANDERSÅN,1239,SMHI,CORE,False,1929-08-31 22:00:00,1932-12-31 00:00:00,62.5909,12.2202,48,LJUSNAN,48000,39.0,1239,ANDERSÅN,LJUSNAN,39.0,Sweden,SMHI HydroObs,
1537,1763118000000.0,Vattenföring (Dygn) - ANKARVATTNET,Latitud: 64.8361 Longitud: 14.2388,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1537.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1537.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1537.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ANKARVATTNET,1537,Extern/SMHI,CORE,True,1943-12-31 22:00:00,2025-11-14 22:00:00,64.8361,14.2388,38,ÅNGERMANÄLVEN,38000,427.8,1537,ANKARVATTNET,ÅNGERMANÄLVEN,427.8,Sweden,SMHI HydroObs,
2311,1763118000000.0,Vattenföring (Dygn) - ARNESTORP,Latitud: 59.3979 Longitud: 13.9543,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2311.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2311.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2311.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ARNESTORP,2311,SMHI,CORE,True,1981-12-30 22:00:00,2025-11-14 22:00:00,59.3979,13.9543,108,GÖTA ÄLV,108000,183.64,2311,ARNESTORP,GÖTA ÄLV,183.64,Sweden,SMHI HydroObs,
1881,1763118000000.0,Vattenföring (Dygn) - ARÖDÅN,Latitud: 58.2444 Longitud: 11.9347,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1881.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1881.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1881.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ARÖDÅN,1881,SMHI,CORE,True,1964-10-31 22:00:00,2025-11-14 22:00:00,58.2444,11.9347,108109,,108109,22.9,1881,ARÖDÅN,,22.9,Sweden,SMHI HydroObs,
10435,1009749600000.0,Vattenföring (Dygn) - ASMUNDTORP,Latitud: 55.8918 Longitud: 12.9778,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10435.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10435.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10435.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ASMUNDTORP,10435,Extern,ADDITIONAL,False,1994-06-30 22:00:00,2001-12-30 22:00:00,55.8918,12.9778,93,SAXÅN,93000,8.3,10435,ASMUNDTORP,SAXÅN,8.3,Sweden,SMHI HydroObs,
1166,1763118000000.0,Vattenföring (Dygn) - ASSMEBRO,Latitud: 57.4315 Longitud: 13.1297,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1166.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1166.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1166.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ASSMEBRO,1166,SMHI,CORE,True,1925-09-11 22:00:00,2025-11-14 22:00:00,57.4315,13.1297,103,ÄTRAN,103000,652.8,1166,ASSMEBRO,ÄTRAN,652.8,Sweden,SMHI HydroObs,
