gauge_id,affiliatedbasin,affiliatedsubsidiarybasinrivercode,affiliatedsubsubsidiarybasinrivercode,alertlevel1,alertlevel2,alertlevel3,areacode,basinidentifier,brittlenessstatus,cardrivedistanceinhours,cityelectricitysupplystatus,constructionmanagement,crossriverstructuresnameofequipment,datacollectionfrequecy,datasubmitted,drainagestatus,ecologicalenvironmentmonitoring,elevationofwaterlevelzeropoint,englishaddress,englishname,englishrivername,equipmentstatus,equipmentstatusoncrossriverstructures,establishdate,floodpreventionpurpose,highsedimentstatus,hydrofacilitymanagement,hydrologicalmonitoringpurpose,lightningstatus,locationaddress,locationbytwd67_xy,locationbytwd97_xy,maintaincycle,noperiodicaldatasubmissionreason,normalobservationtype,obervationitems,observationmethod,observationreason,observationstatus,observatoryidentifier,observatoryname,onsitedatacollection,otherrequirement,realtimedatadeliveryfrequency,realtimedatadeliveryfrequencyinflooddefencetime,remarks,replacestatus,rivername,riversectiondepositionanderosionchange,shortobservationtype,solarpotentialdemage,solarstatus,stealstatus,straightriverstatus,subsidencestatus,sunlightcoveragestatus,sunshinestatus,tidestatus,transmissionequipment,verticaldatumsourcestatus,walkdistanceinhours,waterdrawstatus,waterresourcedistrictidentifier,waterresourcenumber,watershedarea,wirelesstransmissiontype,station_name,river,latitude,longitude,altitude,area,country,source,zero_point_elevation_m
1140H001,1140,,,,,,10004120,1140H001,,,1,,無,,,0,,68800.00,Yufeng T.Jianshi H. Hsinchu H.,YU FENG,Dahan River,3,0,,,0,,,,新竹縣尖石鄉玉峰村,279345.49 2727961.80,280175.42 2727757.28,,,,"0,1",1,,現存,3132001RV1140H001,玉峰(馬利哥灣),,,1,3,,,大漢溪,5,,,1,,0,,,,0,1,5,,0,10,11,335.29,4,玉峰(馬利哥灣),大漢溪,24.656434741302512,121.29811961211165,688.0,335.29,Taiwan,Water Resources Agency (Taiwan),688.0
1140H002,1140,,,,,,68000130,1140H002,,,0,,無,,,0,,52500.00,"Huajun Vil. Fuxing Dist., Taoyuan City",LENG-CHIAD,Dahan River,3,0,,,0,,,,桃園市復興區華陵里,288011.09 2730327.00,288841.17 2730122.57,,,,"0,1",1,,現存,3132001RV1140H002,稜角,,,1,3,,,三光溪,5,,,1,,0,,,,0,1,5,,0,10,11,107.76,4,稜角,三光溪,24.677595737157606,121.38379732072531,525.0,107.76,Taiwan,Water Resources Agency (Taiwan),525.0
1140H041,1140,,,,,,10004120,1140H041,,,1,,無,,,0,,82700.00,Xiuluan T.Jianshi H. Hsinchu H.,XIU LUAN,Dahan River,3,0,,,0,,,,新竹縣尖石鄉秀巒村,278064.89 2723555.80,278894.77 2723351.20,,,,"0,1",1,,現存,3132001RV1140H041,秀巒,,,1,3,,,白石溪,5,,,1,,0,,,,0,1,5,,0,10,11,115.93,4,秀巒,白石溪,24.61667809360088,121.28537710980571,827.0,115.93,Taiwan,Water Resources Agency (Taiwan),827.0
1140H048,1140,114010,114010,32.5,31.3,,65000090,1140H048,0,1,1,0,三峽橋,4,1,0,0,3706.00,"San Xia Qiao,Sanxia Dist., New Taipei City",SAN-HSIA,Sanxia River,1,1,1983-01-01T00:00:00,0,0,0,1,1,新北市三峽區三峽橋,286922.56 2758785.44,287752.81 2758581.45,1,0,1,"0,1,2",1,,現存,3132020RV1140H048,三峽(2),1,0,1,1,,,三峽溪,0,0,2,0,1,1,0,0,0,0,1,1,1,0,10,10,125.34,10,三峽(2),三峽溪,24.934561687062427,121.37381293422516,37.06,125.34,Taiwan,Water Resources Agency (Taiwan),37.06
1140H049,1140,114010,114011,25.0,,,65000090,1140H049,0,1,1,0,,4,1,0,0,2174.00,"Xibei Vil.Sanxia Dist., New Taipei City",HENG CHI,Sanxia River,3,0,1983-06-01T00:00:00,0,0,0,1,0,新北市三峽區溪北里,289047.15 2758923.98,289877.43 2758720.00,1,0,0,"0,1,2",1,1,現存,3132020RV1140H049,橫溪,1,0,1,1,,0,三峽溪,1,0,2,0,1,1,0,0,0,0,1,1,1,0,10,10,52.88,10,橫溪,三峽溪,24.935758305822905,121.39485365789152,21.74,52.88,Taiwan,Water Resources Agency (Taiwan),21.74
1140H054,1140,,,,,,68000130,1140H054,,,1,,無,,,0,,24900.00,Luofu T. Fuxing H.Taoyuan H.,XIA YUN,Dahan River,3,0,,,0,,,,桃園市復興區羅浮里,285813.29 2740336.80,286643.40 2740132.51,,,,"0,1",1,,現存,3132001RV1140H054,霞雲,,,1,3,,,大漢溪,5,,,1,,0,,,,0,1,5,,0,10,11,622.8,4,霞雲,大漢溪,24.76802477053209,121.36234267797336,249.0,622.8,Taiwan,Water Resources Agency (Taiwan),249.0
1140H058,1140,114030,,17.4,14.4,,10017020,1140H058,0,2,1,0,,4,1,0,0,395.00,Wu Du N Rd.Qidu Dist. Keelung City,WU-TU,Keelung  River,3,0,1983-01-01T00:00:00,0,0,0,0,0,基隆市七堵區五堵北街,319436.53 2774928.88,320267.38 2774725.35,1,0,1,"0,1,2",1,,現存,3132020RV1140H058,五堵,1,0,1,1,,,基隆河,0,0,2,0,1,1,0,0,0,0,1,1,1,1,10,10,204.41,4,五堵,基隆河,25.079148985499447,121.69656603943248,3.95,204.41,Taiwan,Water Resources Agency (Taiwan),3.95
1140H062,1140,,,,,,,1140H062,,,,,,,,0,,700.00,"CHUNG-CHENG,CHING-MEI,TAIPEI",CHING-MEI,CHING-MEI CHI,,,,,0,,,,台北市景美區中正路景美橋,304084.30 2764694.30,304914.84 2764490.51,,,,"0,1,2",1,,已廢,3132020RV1140H062,景美,,,,,,,景美溪,5,,,,,0,,,,0,,5,,0,10,10,114.95,10,景美,景美溪,24.98738576939508,121.5439736829814,7.0,114.95,Taiwan,Water Resources Agency (Taiwan),7.0
1140H066,1140,114020,,11.3,9.1,5.9,65000030,1140H066,0,1,1,0,秀朗橋,4,1,1,0,1827.00,"Xiu Lang Qiao,Zhonghe Dist., New Taipei City",HSIU-LUNG,Xindian River,1,1,1983-01-01T00:00:00,0,0,0,1,1,新北市中和區秀朗橋,302588.47 2764911.05,303419.00 2764707.25,1,0,1,"0,1,2",1,,現存,3132020RV1140H066,秀朗,1,0,1,1,,,新店溪,0,0,2,0,1,1,0,0,0,0,1,1,1,1,10,10,750.76,1,秀朗,新店溪,24.989395923864226,121.52916512016884,18.27,750.76,Taiwan,Water Resources Agency (Taiwan),18.27
1140H068,1140,114020,,50.5,,,65000060,1140H068,0,2,1,0,,4,1,1,0,4710.00,"Gui Shan Qiao,Xindian Dist., New Taipei City",CHU-CHIH,Xindian River,3,0,1979-01-01T00:00:00,0,0,0,1,1,新北市新店區龜山橋,304378.16 2756669.90,305208.66 2756465.99,1,0,0,"0,1,2",1,8,現存,3132020RV1140H068,屈尺,1,0,1,1,,0,新店溪,2,0,2,0,1,1,0,0,0,0,1,1,1,1,10,10,645.65,4,屈尺,新店溪,24.914929502731933,121.54656421911763,47.1,645.65,Taiwan,Water Resources Agency (Taiwan),47.1
