gauge_id,station_name,station_name_local,river,latitude,longitude,altitude,area,country,source,station_code,station_type,agency,basin,province,district,subdistrict,vertical_datum
1,Klong Ladprao Bang Bua Temple,คลองลาดพร้าว วัดบางบัว,คลองบางบัว,13.85402,100.58746,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),BKK021,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Chao Phraya Basin,Bangkok,Bang Khen District,Anusawari,MSL
10,Krung Thep 5,คลองภาษีเจริญ เพชรเกษม69,คลองภาษีเจริญ,13.69158,100.38127,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),BKK005,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Chao Phraya Basin,Bangkok,Bang Khae District,Lak Song,MSL
1035512,บ้านคลองหินลับ,บ้านคลองหินลับ,ห้วยหินลับ,14.72852,101.564293,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),M.183B,tele_waterlevel,Royal Irrigation Department,Mun Basin,Nakhon Ratchasima,Pak Chong District,Wang Sai,MSL
1035516,บ้านบัว,บ้านบัว,ลำเชิงไกร,15.18159,102.242737,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),M.188A,tele_waterlevel,Royal Irrigation Department,Mun Basin,Nakhon Ratchasima,Non Sung District,Non Sung,MSL
1035518,บ้านหินโคนเก่า,บ้านหินโคนเก่า,ลำปลายมาศ,15.02688,102.805687,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),M.185A,tele_waterlevel,Royal Irrigation Department,Mun Basin,Buri Ram,Lam Plai Mat District,Hin Khon,MSL
1035521,บ้านดอนยาง,บ้านดอนยาง,ลำเสียว,15.57186,103.819847,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),M.95A,tele_waterlevel,Royal Irrigation Department,Mun Basin,Roi Et,Suwannaphum District,Sa Khu,MSL
1066916,บ้านวังหมัน,บ้านวังหมัน,แควหนุมาน,14.10461,101.744179,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),Kgt.34,tele_waterlevel,Royal Irrigation Department,Bang Pakong Basin,Prachin Buri,Na Di District,Saphan Hin,MSL
1079844,บ้านโนนค่า,บ้านโนนค่า,ห้วยดินดำ,14.93225,101.867882,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),M.192,tele_waterlevel,Royal Irrigation Department,Mun Basin,Nakhon Ratchasima,Sung Noen District,Bung Khi Lek,MSL
1079932,ตำบลท่าหลวง,ตำบลท่าหลวง,คลองบ้านปากคลองใหญ่,12.657133,102.15435,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),Z.64,tele_waterlevel,Royal Irrigation Department,East Coast Gulf Basin,Chanthaburi,Laem Sing District,Ko Proet,MSL
1079995,บ้านไสหาร,บ้านไสหาร,แม่น้ำตรัง,7.90741,99.542389,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.233,tele_waterlevel,Royal Irrigation Department,Peninsula - West Coast Basin,Trang,Huai Yot District,Huai Nang,MSL
1082427,Bo Din Khao,บ่อดินขาว,คลองอนุศาสนนันท์,15.169044,100.41471,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),CHK001,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Chao Phraya Basin,Nakhon Sawan,Takhli District,Chong Khae,MSL
1085209,Ai Pa Cho Bridge,สะพานไอร์ปาโจ,คลองไอร์ปาโจ,5.83565,101.73488,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),SKN001,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Peninsula - Lower East Coast Basin,Narathiwat,Sukhirin District,Phu Khao Thong,MSL
1085210,Bua Ban Ya De Bridge,สะพานตาบัว บ้านยาเด๊ะ,คลองอัยดาลอ,5.827553,101.75235,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),SKN002,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Peninsula - Lower East Coast Basin,Narathiwat,Sukhirin District,Ma Mong,MSL
1085211,Ka Lu Bi Ban Sai Pa Ri Bridge,สะพานกะลูบี บ้านสายปารี,แม่น้ำสายบุรี,5.895709,101.76639,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),SKN003,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Peninsula - Lower East Coast Basin,Narathiwat,Sukhirin District,Ma Mong,MSL
1087618,บ้านปายอยือนิ,บ้านปายอยือนิ,แม่น้ำสายบุรี,6.47977,101.44474,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.273,tele_waterlevel,Royal Irrigation Department,Peninsula - Lower East Coast Basin,Yala,Raman District,Talo Halo,MSL
