gauge_id,gauge_name,river,longitude,latitude,area
1001,Tarroul,Wick,-3.26706,58.4762,161.9
2001,Kilphedir,Helmsdale,-3.70295,58.141,551.4
2002,Bruachrobie,Brora,-3.87757,58.01056,434.4
3001,Lairg,Shin,-4.40405,58.02222,494.6
3002,Sgodachail,Carron,-4.54668,57.89321,241.1
3003,Easter Turnaig,Oykel,-4.70086,57.96185,330.7
3004,Rosehall,Cassley,-4.58615,57.9821,187.79
3005,Inveran,Shin,-4.41038,57.94319,575.0
3006,Loch Ailsh,Loch Ailsh,-4.85531,58.04828,44.34
4001,Moy Bridge,Conon,-4.53997,57.55658,961.8
4003,Alness,Alness,-4.25876,57.69601,201.0
4004,Contin,Blackwater,-4.5846,57.5702,336.7
4005,Glenmeanie,Meig,-4.86377,57.53261,120.5
4006,Dosmucheran,Bran,-5.00577,57.59587,116.1
4007,Garve,Blackwater,-4.68803,57.6167,289.0
4008,Newhall Bridge,Newhall Burn,-4.17663,57.65782,41.0
4009,Strathpeffer STW,Peffery,-4.52304,57.59298,17.3
4010,Loch Beannacharain,Meig,-4.95928,57.5218,70.92
4011,Corrievuic,Meig,-5.00188,57.5135,58.36
5001,Erchless,Beauly,-4.62312,57.42749,849.5
5002,Struy,Farrar,-4.6824,57.4257,311.3
5003,Kerrow Wood,Glass,-4.73643,57.34938,481.8
5004,Fasnakyle,Glass,-4.79927,57.31811,277.5
6001,Ness Castle Farm,Ness,-4.26899,57.43886,1792.3
6003,Invermoriston,Moriston,-4.62461,57.21538,391.0
6006,Invermoriston,Allt Bhlaraidh,-4.68904,57.21311,27.5
6007,Ness-side,Ness,-4.25985,57.45454,1839.1
6008,Mill of Tore,Enrick,-4.57583,57.3339,105.9
6009,Levishie,Moriston,-4.64783,57.22004,403.1
6011,Ardachy Bridge,Tarff,-4.6782,57.12952,75.9
6012,White Bridge,Enrick,-4.67308,57.3335,56.2
6013,Dirriebught House,Mill Burn,-4.20715,57.47804,9.22
7001,Shenachie,Findhorn,-3.95482,57.37717,415.6
7002,Forres,Findhorn,-3.64408,57.60477,781.9
7003,Sheriffmills,Lossie,-3.35193,57.64637,216.0
7004,Firhall,Nairn,-3.87026,57.57173,313.0
7005,Dunphail,Divie,-3.66179,57.51151,165.0
