gauge_id,station_name,station_no,latitude,longitude
36744,Aberuthven,14969,56.31968188,-3.658685969
37602,Abington,322551,55.48691533,-3.69056827
37582,Aboyne,302205,57.07726163,-2.771636889
36258,Airyhemming,133141,54.90049986,-4.839842855
37182,Alford,234170,57.24230294,-2.717123004
37138,Allnabad,234151,58.34717676,-4.644621014
37970,Allt a' Ghlas-charnaich,368538,57.70934072,-4.836082499
36688,Almondbank,14954,56.41527516,-3.51359839
36404,Almondell,14869,55.90181846,-3.463017734
37144,Alness,234152,57.69601068,-4.258760757
36834,Ancrum,15002,55.51244139,-2.580776051
36462,Anie,14888,56.25788155,-4.285414699
37148,Apigill,234153,58.48007214,-4.207749187
36574,Arbroath,14922,56.56723031,-2.588171626
37156,Ardachy Bridge,234155,57.12952381,-4.678200965
37160,Ariundle,234157,56.70722202,-5.556782552
37998,Athelstaneford,372871,55.9852479,-2.736326688
36008,Auchendrane,133060,55.40997977,-4.627054661
36012,Auchengeich,133061,55.91939055,-4.114140851
37164,Avochie,234161,57.50564634,-2.782377895
36486,Balfour Mains,14894,56.1847332,-3.08157055
38270,Ballachraggan,516803,57.52824441,-3.451567365
36630,Ballathie,14937,56.5144141,-3.386963945
36564,Balmossie,14919,56.48175497,-2.85166534
37170,Balnaan,234163,57.30214571,-3.699157201
37128,Balnafoich,206846,57.38787077,-4.188250573
36016,Balnowlart,133062,55.10717871,-4.968322113
36494,Bannockburn,14897,56.09528478,-3.911816854
36020,Barnaline Lodge,133063,56.27473893,-5.278048706
36266,Beattock,133143,55.31167269,-3.456710814
36024,Blairston,133064,55.79734306,-4.068305537
37174,Boat o  Brig,234167,57.55104115,-3.140387991
37178,Boat of Garten,234168,57.25078305,-3.746867237
38340,Boleside,533744,55.59164323,-2.798878774
36450,Bonnybridge,14885,56.00182143,-3.886990553
37562,Borgie Bridge,234334,58.49740038,-4.279784356
36028,Braevallich,133065,56.21639554,-5.296246434
36556,Brechin,14917,56.72692276,-2.655900389
36466,Bridge of Allan,14889,56.15901974,-3.956367475
36458,Bridge of Teith,14887,56.18573476,-4.055574525
36276,Bridgemuir,133145,55.14632871,-3.428225271
36032,Bridgend,133066,55.94910632,-4.129006198
37598,Brighouse Burn,321630,54.78864247,-4.117404209
36804,Brockhoperig,14987,55.4061286,-3.211513384
37192,Brodie,234173,57.59244808,-3.708878989
36880,Broxmouth,15029,55.99077195,-2.48676507
37196,Bruachrobie,234174,58.0105569,-3.877565412
36280,Brydekirk,133146,55.02165102,-3.267726412
37950,Burrelton Burn,368492,56.5211801,-3.294527587
37200,Cabrach,234176,57.34816,-3.034565786
36778,Cademuir,14977,55.61926614,-3.244232636
36036,Calderpark,133069,55.83754619,-4.10777909
37206,Camisky,234178,56.87846936,-5.046521526
36040,Candermill,133070,55.70088757,-3.966908369
36284,Canonbie,133148,55.0662645,-2.946231369
36288,Capenoch,133149,55.22736754,-3.817044727
36626,Caputh,14936,56.53919737,-3.492942476
37594,Carron (Stonehaven),320374,56.96221164,-2.216208291
38444,Carron upstream (Stonehaven),565197,56.96155865,-2.219756428
38210,Castle O'er,506142,55.22290808,-3.180030664
36524,Castlehill Reservoir,14908,56.2092222,-3.60889654
36044,Catrine,133071,55.50462561,-4.336590474
35982,Caulkerbush,116013,54.89874408,-3.672536736
38390,Chapeltoun Gauging Station,541851,55.6639264,-4.554890682
37210,Charr,234183,56.94084906,-2.619402267
36838,Chesters,15004,55.37862961,-2.589607681
35978,Claggan,116011,56.82151065,-5.088839432
36858,Coldstream,15013,55.64977661,-2.256597919
36428,Colinton,14880,55.90575791,-3.262141625
36568,Colliston,14921,56.61000991,-2.637841019
36674,Comrie Bridge,14951,56.61422921,-3.980864711
36048,Condorrat,133072,55.92951508,-4.019603678
38070,Corrievuic,472872,57.51349507,-5.001875565
38480,Cowbridge,5981,55.89709776,-3.05890347
279917,Craig Douglas,14983,55.5086,-3.1265
36052,Craigend,133073,55.86450249,-4.534803989
37876,Craigendarroch,356326,56.56990238,-5.749845756
38042,Craigforth,4638,56.1360998,-3.970218251
36698,Craighall (Perth),14956,56.60905796,-3.347175751
36396,Craigiehall,14867,55.96313343,-3.338532726
37236,Creed Bridge,234190,58.20454028,-6.424227928
38336,Crimmonmogate,533741,57.61852769,-1.928524204
37242,Culfork,234191,57.18022427,-3.11016313
37246,Cullen,234192,57.68712295,-2.83323079
36726,Cultybraggan,14965,56.35972783,-4.001442447
38382,Cunninghamhead,538826,55.64794589,-4.584018331
36292,Dalbeattie,133151,54.92987759,-3.840969588
36056,Daldowie,133074,55.82998694,-4.121948322
36296,Dalgig,133152,55.38782272,-4.277163013
36586,Dalhousie Bridge,14925,56.8021744,-2.67047775
36416,Dalmore,14873,55.84190258,-3.195905294
35986,Dalry,116020,55.70198453,-4.716787117
36536,Damleys Cottage,14912,56.22128534,-3.361631179
36300,Dargall Lane,133153,55.0785507,-4.428445527
36650,Dean Bridge,14946,56.5988796,-3.153071161
36800,Deephope,14986,55.41241422,-3.141967218
37252,Delnashaugh,234198,57.39970792,-3.357845061
37548,Dionard,234330,58.49807306,-4.821196451
36060,Dippen,133077,55.58274848,-5.496523588
37258,Diriebught House,234200,57.47804173,-4.207153032
37262,Dosmucheran,234202,57.59587318,-5.005770119
36386,Dow Craig,133183,55.37721095,-4.306229017
