"site","latitude","longitude"
"01AD003",47.20661,-68.95694
"01AD004",47.36078,-68.32489
"01AF002",47.03889,-67.73972
"01AF007",47.24697,-67.92128
"01AF009",47.45783,-68.35683
"01AG003",46.81636,-67.75197
"01AH002",47.17303,-67.21081
"01AJ003",46.21622,-67.72794
"01AJ004",46.43836,-67.73844
"01AJ010",46.34089,-67.46511
"01AK001",45.94353,-67.32036
"01AK003",45.96619,-66.65161
"01AK006",46.08281,-66.73303
"01AK007",46.04878,-67.23961
"01AL002",46.12592,-66.61131
"01AL004",46.27717,-67.02139
"01AM001",45.67378,-66.68289
"01AN002",46.29072,-65.72275
"01AO002",45.86647,-66.45317
"01AO003",46.0564,-66.0057
"01AO004",45.82892,-66.11542
"01AO010",45.90883,-66.25644
"01AO011",45.84725,-66.23486
"01AO012",45.76867,-66.14036
"01AP002",46.07236,-65.36639
"01AP003",45.51942,-66.07661
"01AP004",45.70139,-65.60169
"01AP005",45.27339,-66.08889
"01AP006",45.50344,-66.31897
"01AQ001",45.16978,-66.46828
"01AQ002",45.27333,-66.80667
"01AQ007",45.71975,-67.18356
"01AR006",45.20903,-67.26215
"01AR009",45.66489,-67.73589
"01AR010",45.56922,-67.42725
"01AR011",45.66417,-67.73356
"01AR013",45.274323,-67.479636
"01AR014",45.17522,-67.2929
"01BC001",47.66708,-67.48308
"01BE001",47.83247,-66.88708
"01BJ003",47.89381,-66.02522
"01BJ007",47.90867,-66.94806
"01BJ010",47.60839,-65.72181
"01BJ012",47.98789,-66.49061
"01BL002",47.70561,-65.15539
"01BL003",47.43578,-65.10606
"01BO001",46.736,-65.82561
"01BP001",46.93597,-65.90739
"01BP002",46.85656,-66.19011
"01BQ001",47.09475,-65.8365
"01BS001",46.44394,-65.06494
"01BU002",45.94639,-65.16819
"01BU009",45.88786,-65.14678
"01BV004",45.30658,-65.84922
"01BV006",45.55856,-65.01597
"01CA003",46.74411,-64.187
"01CB002",46.34586,-63.63333
"01CB004",46.39331,-63.65939
"01CB018",46.4275,-63.68042
"01CC002",46.33206,-63.06547
"01CC005",46.23139,-63.35108
"01CC010",46.31481,-63.12336
"01CC011",46.31025,-63.19489
"01CD005",46.45314,-62.38233
"01DC005",44.94919,-65.02939
"01DC007",44.88083,-65.15792
"01DD002",45.06478,-64.63533
"01DD005",45.15056,-64.475
"01DG003",44.85111,-63.66389
"01DG043",45.12306,-63.34975
"01DH002",45.36917,-63.21544
"01DH004",45.42556,-63.25472
"01DH006",45.35883,-63.29589
"01DJ005",45.43822,-63.598
"01DL001",45.58681,-64.45069
"01DP004",45.49739,-62.78019
"01DR001",45.55972,-61.90364
"01EA003",43.92481,-65.86853
"01EC001",43.83736,-65.36911
"01ED005",44.33314,-65.20508
"01ED007",44.43678,-65.22186
"01ED013",44.21542,-65.24142
