"site","latitude","longitude"
"01201005",-17.8428,-69.6994
"01201002",-17.9833,-69.6283
"01201001",-17.9919,-69.6256
"01001002",-17.9942,-69.255
"01201003",-18.0036,-69.6331
"01001003",-18.0156,-69.2308
"01001001",-18.0769,-69.1961
"01020002",-18.1936,-69.2458
"01020004",-18.2294,-69.3311
"01020003",-18.2325,-69.3319
"01210001",-18.3667,-69.9003
"01211001",-18.4,-70.3
"01300002",-18.4008,-68.5833
"01021002",-18.4931,-69.1494
"01300009",-18.5133,-69.5656
"01021001",-18.5833,-69.0467
"01310002",-18.5844,-69.8114
"01310004",-18.5856,-69.8867
"01410004",-18.8269,-69.6669
"01502008",-18.9431,-69.6197
"01502002",-19.0444,-69.9842
"01041002",-19.2711,-68.6797
"01610002",-19.2958,-69.3886
"01730007",-19.7831,-69.1433
"01730002",-19.8297,-69.2869
"01730012",-19.8531,-69.3442
"01044001",-19.8586,-68.5858
"01730003",-19.8642,-68.9297
"01730001",-19.8764,-68.9592
"01050003",-20.0333,-68.8333
"01050002",-20.0344,-68.8311
"01050004",-20.1119,-68.8408
"02113001",-20.9333,-68.8833
"02120001",-21.4247,-70.0536
"02112002",-21.6433,-69.5386
"02112001",-21.65,-69.5333
"02101001",-21.6558,-68.6622
"02112005",-21.7125,-69.5167
"02103002",-21.9425,-68.5122
"02103001",-21.9664,-68.3661
"02104013",-21.9719,-68.6083
"02104003",-21.9756,-68.6075
"02104001",-21.9881,-68.6067
"02103014",-22.0103,-68.0269
"02104002",-22.0278,-68.6208
"02105007",-22.2731,-68.1439
"02105001",-22.2792,-68.2428
"02105002",-22.2894,-68.3447
"02112007",-22.3431,-69.565
"02105005",-22.3653,-68.6419
"02112006",-22.3922,-69.53
"02110001",-22.4419,-68.8886
"02110002",-22.4469,-68.8775
"02110003",-22.5028,-68.9772
"02110004",-22.5061,-68.9889
"02510001",-22.8225,-68.1983
"02500004",-22.8697,-68.1792
"02500002",-23.2725,-68.0133
"02500005",-23.6119,-67.8469
"02500003",-23.7897,-68.1081
"02500006",-23.7967,-68.0953
"03022001",-26.4808,-69.06
"03041005",-27.08,-68.9306
"03041004",-27.1333,-69.0003
"03041002",-27.2025,-69.025
"03041003",-27.2622,-69.0028
"03041001",-27.2642,-68.9975
"03453001",-27.3194,-70.8381
"03450001",-27.3636,-70.3392
"03050001",-27.4597,-69.0453
"03434002",-27.5147,-70.2644
"03434003",-27.5161,-70.2647
"03434001",-27.5244,-70.2689
"03431001",-27.8044,-70.1269
"03430002",-27.8667,-70.0667
"03430001",-27.9747,-69.9978
"03430003",-28.0003,-69.9747
"03404001",-28.0431,-69.9567
"03414001",-28.0858,-69.9408
"03421001",-28.1478,-69.9939
"03826001",-28.4647,-71.1783
"03825001",-28.5119,-71.0064
"03820003",-28.6719,-70.6464
"03820002",-28.6997,-70.55
"03820001",-28.7306,-70.5067
"03815001",-28.75,-70.4867
"03806001",-28.7503,-70.4828
"03815002",-28.9319,-70.4581
"03814001",-28.94,-70.4569
"03804002",-28.9414,-70.2481
"03802001",-28.9456,-70.1011
"03804001",-28.95,-70.2167
"03814003",-29.1094,-70.4139
"04306001",-29.8431,-70.3861
"04331001",-29.8667,-71.1
"04335001",-29.8931,-71.2514
"04308001",-29.9458,-70.5328
"04302001",-29.9711,-70.0928
"04314002",-29.9781,-70.5525
"04400001",-29.9789,-71.2861
"04323001",-29.9811,-70.8981
"04320001",-29.9953,-70.5867
"04323003",-30.0208,-70.7992
"04314001",-30.0897,-70.4928
"04313001",-30.1222,-70.4344
"04301002",-30.2028,-70.0361
"04311001",-30.2206,-70.4928
"04502001",-30.3333,-70.7667
"04501002",-30.3833,-70.6
"04503001",-30.4386,-71.0022
"04501001",-30.4622,-70.5361
"04506002",-30.4772,-71.0692
"04506003",-30.4961,-71.0931
"04550003",-30.5903,-71.1714
"04558001",-30.6667,-71.5333
"04557002",-30.6722,-71.5267
"04540001",-30.6833,-71.05
"04540002",-30.6997,-71.0358
"04506005",-30.7,-70.9
"04540003",-30.7,-71.05
"04523001",-30.7022,-70.9
"04523002",-30.7047,-70.9244
"04522002",-30.7081,-70.8728
"04522001",-30.7333,-70.6167
"04520001",-30.7436,-70.4389
"04556001",-30.75,-71.4167
"04520002",-30.7656,-70.6158
"04516001",-30.7828,-70.8222
"04537001",-30.8006,-70.9697
"04514001",-30.8128,-70.6128
"04516002",-30.8167,-70.7833
"04515002",-30.8422,-70.7694
"04515001",-30.8456,-70.7139
"04513001",-30.9242,-70.7731
"04535002",-30.9986,-71.09
"04511002",-31.0117,-70.5811
"04512001",-31.0119,-70.6644
"04531002",-31.0325,-71.0403
"04531001",-31.0833,-70.9556
"04534001",-31.0833,-71.0667
"04530001",-31.1119,-70.885
"04532001",-31.2281,-70.9125
"04533002",-31.2656,-70.9908
"04721001",-31.5069,-70.8125
"04723001",-31.5608,-70.9644
"04730001",-31.5836,-71.4606
"04726001",-31.6647,-71.2547
"04713002",-31.6667,-70.9333
"04716004",-31.6881,-71.2658
"04712001",-31.6958,-70.7158
"04713001",-31.7186,-70.8442
"04716001",-31.7422,-71.1492
"04714001",-31.7714,-71.0639
"04711001",-31.8117,-70.9303
"04704001",-31.8167,-70.6
"04704002",-31.8289,-70.5972
"04810001",-31.9481,-71.0747
"04703002",-31.9667,-70.5944
"04703001",-31.9833,-70.5667
"05101001",-32.0708,-70.7564
"05100001",-32.2253,-70.7119
"05110002",-32.2786,-70.9889
"05200001",-32.33,-70.7381
"05120001",-32.3778,-71.3719
"05221002",-32.4414,-71.3139
"05414001",-32.5017,-70.5811
"05410003",-32.75,-70.7333
"05410005",-32.7572,-70.7367
"05411002",-32.7636,-70.725
"05421002",-32.7769,-70.9772
"05320001",-32.7936,-71.4161
"05420002",-32.8019,-70.9294
"05421001",-32.8167,-71
"05423004",-32.8333,-71.0833
"05422001",-32.8347,-70.9983
"05423001",-32.8369,-71.0042
"05423003",-32.8403,-71.0256
"05410002",-32.8503,-70.5094
"05406001",-32.8572,-70.4122
"05401003",-32.8625,-70.1675
"05403003",-32.8667,-70.4167
"05423006",-32.8667,-71.1333
"05403002",-32.9067,-70.3036
"05402001",-32.9072,-70.2978
"05411001",-32.9164,-70.5403
"05427003",-32.9242,-71.4439
"05741001",-33.1669,-71.1306
"05735001",-33.1967,-70.5808
"05734001",-33.1983,-70.8956
"05721016",-33.3086,-70.3572
"05722001",-33.3256,-70.4561
"05721001",-33.3414,-70.3636
"05722002",-33.3703,-70.4508
"05720001",-33.3733,-70.3961
"05730003",-33.4125,-70.6047
"05730008",-33.4331,-70.5142
"05730005",-33.4783,-70.7172
"05706001",-33.4878,-70.1367
"05705001",-33.49,-70.1342
"05737002",-33.4961,-70.8167
"05703006",-33.5847,-70.1161
"05707002",-33.5875,-70.3669
"05710001",-33.5939,-70.3792
"05746001",-33.6614,-71.3372
"05703002",-33.6667,-70.0833
"05748001",-33.7219,-71.555
"05717005",-33.7256,-70.9161
"05704002",-33.7347,-70.3008
"05703003",-33.7864,-70.2117
"05702001",-33.8056,-70.2089
"05716001",-33.8111,-70.8836
"05715001",-33.8333,-70.75
"05701002",-33.8481,-70.1961
"06056001",-33.9369,-71.75
"05701001",-33.9781,-70.1456
"06043001",-34.0617,-71.2422
"06011001",-34.1842,-70.8436
"06008002",-34.2167,-70.5333
"06008009",-34.2403,-70.5506
"06006001",-34.2467,-70.3281
"06008005",-34.25,-70.5667
"06019003",-34.2731,-71.3717
"06003001",-34.3464,-70.3764
"06000003",-34.3628,-70.3056
"06002001",-34.3669,-70.3258
"06015001",-34.3822,-71.0997
"06018001",-34.4311,-71.1681
"06013001",-34.4922,-70.7028
"06035001",-34.4922,-71.3731
"06132001",-34.57,-71.7908
"06034001",-34.6267,-71.3514
"06027001",-34.6867,-70.8739
"06028001",-34.7186,-70.8267
"06034022",-34.7647,-71.1372
"06033001",-34.7689,-71.1175
"06033011",-34.7889,-71.0458
"06033009",-34.8142,-71.0997
"06025001",-34.8164,-70.5642
"07104001",-34.9653,-70.9419
"07123001",-34.9844,-72.01
"07102001",-34.9931,-70.8097
"07104002",-34.9961,-70.8206
"07103001",-34.9983,-70.8094
"07102005",-35.045,-70.6353
"07116001",-35.1731,-71.0911
"07372001",-35.1783,-71.3847
"07115001",-35.2744,-71.0156
"07112001",-35.2783,-71.0028
"07381001",-35.3736,-71.8292
"07383001",-35.4069,-72.2083
"07379001",-35.4167,-71.6811
"07379002",-35.4525,-71.7333
"07374001",-35.4856,-71.2933
"07374003",-35.5286,-71.265
"07341001",-35.55,-72.1
"07322001",-35.5575,-71.7067
"07374002",-35.5639,-71.2833
"07400001",-35.5689,-72.5833
"07322007",-35.5822,-71.5306
"07322008",-35.5892,-71.5358
"07378013",-35.6142,-71.3186
"07322006",-35.6169,-71.5392
"07359001",-35.6169,-71.7678
"07322005",-35.6175,-71.5389
"07378011",-35.6358,-71.2694
"07322002",-35.6389,-71.3839
"07378012",-35.6475,-71.2797
"07322004",-35.6647,-71.3492
"07320003",-35.6989,-71.0683
"07321003",-35.7039,-71.1161
"07321002",-35.7061,-71.1139
"07321007",-35.7147,-71.1806
"07321005",-35.7275,-71.1667
"07306001",-35.7381,-70.7778
"07358010",-35.7428,-71.4217
"07343001",-35.75,-72.0667
"07308001",-35.7525,-71.0025
"07317003",-35.7544,-71.0864
"07358001",-35.7719,-71.585
"07308002",-35.7728,-71.0019
"07308000",-35.7961,-70.9953
"07357002",-35.8167,-71.8333
"07303000",-35.8197,-70.7606
"07317002",-35.85,-71.0667
"07355008",-35.8544,-71.2375
"07355003",-35.8667,-71.1169
"07340001",-35.8833,-72.0167
"07317005",-35.8842,-71.0192
"07355001",-35.9,-71.5167
"07339001",-35.9,-72.05
"07355002",-35.9086,-71.2981
"07354001",-35.9636,-71.4881
"07335002",-35.9667,-72.0167
"07335003",-35.9833,-72.0667
"07351001",-36,-71.7228
"07354002",-36.0028,-71.4419
"07300001",-36.0114,-70.5547
"07336001",-36.0167,-72.3833
"07335001",-36.05,-72.0833
"07314001",-36.1667,-70.9333
"07350001",-36.2303,-71.4569
"07332001",-36.2333,-72
"07331001",-36.2478,-71.5642
"07350003",-36.2558,-71.3375
"07350002",-36.2567,-71.4189
"07330001",-36.3758,-71.6233
"08144001",-36.425,-72.6669
"08141001",-36.4669,-72.6911
"08114001",-36.55,-72.05
"08115001",-36.55,-72.1
"08118001",-36.55,-72.2833
"08106001",-36.5703,-71.5547
"08106002",-36.5856,-71.5256
"08117009",-36.5967,-72.1003
"08112003",-36.6167,-71.7833
"08117005",-36.6167,-72.3167
"08140002",-36.6261,-72.4892
"08117001",-36.6333,-72.2167
"08210003",-36.6394,-72.9503
"08112002",-36.65,-71.7667
"08135002",-36.65,-72.45
"08112001",-36.6547,-71.7558
"08105001",-36.6583,-71.3208
"08104001",-36.6653,-71.2739
"08117008",-36.6667,-72.15
"08134003",-36.7,-72.3833
"08134002",-36.7333,-72.1333
"08117004",-36.7867,-71.7486
"08117006",-36.8,-71.6608
"08220001",-36.8167,-73.0333
"08220008",-36.8203,-73.0164
"08394001",-36.8386,-73.0619
"08133001",-36.85,-72.3833
"08130001",-36.8606,-71.6253
"08132001",-36.8667,-72.3333
"08130002",-36.9244,-71.5756
"08124001",-36.9333,-72.35
"08124002",-37.0667,-72.1833
"08372002",-37.1072,-71.2422
"08385001",-37.1183,-72.545
"08123001",-37.15,-72.0667
"08123002",-37.1667,-72.0333
"08430001",-37.1667,-73.1667
"08370006",-37.2058,-71.2297
"08383001",-37.2333,-72.5333
"08530001",-37.25,-73.2667
"08386001",-37.2667,-72.7167
"08122001",-37.2744,-71.8189
"08380001",-37.2836,-71.9836
"08380002",-37.3003,-71.9703
"08380005",-37.3006,-71.9642
"08375005",-37.3022,-71.6467
"08375004",-37.3036,-71.6378
"08371001",-37.3167,-71.6667
"08375006",-37.3256,-71.6489
"08375001",-37.3333,-71.5336
"08375002",-37.3344,-71.5336
"08376001",-37.34,-71.7942
"08374002",-37.3656,-71.4786
"08366002",-37.4561,-72.3272
"08362001",-37.4622,-72.7533
"08700002",-37.4833,-73.3369
"08700003",-37.4878,-73.3442
"08323001",-37.5422,-72.3119
"08323002",-37.55,-72.0333
"08334001",-37.5503,-72.5903
"08820001",-37.6,-73.4833
"08319001",-37.6019,-72.2783
"08720001",-37.6833,-73.35
"08317001",-37.7106,-71.9017
"08332001",-37.7167,-72.2333
"08330001",-37.7167,-72.25
"08358001",-37.7333,-72.6167
"08317002",-37.7756,-71.8628
"08822001",-37.8,-73.4
"08821006",-37.8131,-73.3922
"08821002",-37.8167,-73.25
"08821001",-37.8167,-73.25
"08821003",-37.8167,-73.3667
"08342001",-37.85,-72.3833
"08343001",-37.8636,-72.3942
"08313000",-37.8986,-71.5806
"08313001",-37.8997,-71.6239
"08822002",-37.9333,-73.2167
"08356001",-37.9431,-72.8094
"08351001",-37.9647,-72.4361
"08312001",-37.9897,-71.52
"09101002",-38.0128,-73.0425
"09101001",-38.0333,-73.0167
"08312000",-38.0369,-71.4781
"08910001",-38.1167,-73.4
"09104002",-38.15,-72.3
"09102001",-38.15,-72.9
"08307002",-38.2008,-71.2989
"08350001",-38.2142,-71.8283
"09104001",-38.2167,-72.3167
"09107002",-38.2667,-72.25
"09106001",-38.3,-72.3833
"09107001",-38.3,-72.6667
"09113001",-38.4,-72.7833
"09123001",-38.4303,-72.0106
"08304001",-38.4333,-71.2333
"09111001",-38.45,-72.4333
"09122002",-38.4508,-71.8658
"09126001",-38.5775,-72.1861
"09116001",-38.6081,-72.8478
"09127001",-38.6167,-72.4167
"09131001",-38.6833,-72.2333
"09129002",-38.6867,-72.5028
"09140001",-38.78,-72.9469
"07308003",-38.8044,-70.9333
"09134001",-38.85,-72.3333
"09135001",-38.85,-72.6167
"09402001",-38.8653,-71.7336
"09404001",-38.9833,-72.2333
"09437002",-39.0144,-73.0828
"09405001",-39.0333,-72.0833
"09436001",-39.0833,-72.9333
"09423001",-39.1,-72.3833
"09434001",-39.1,-72.6833
"09433001",-39.15,-72.6667
"09416001",-39.2561,-71.8244
"09420001",-39.2667,-72.2333
"09414001",-39.3333,-71.7667
"09412001",-39.36,-71.5808
"10140001",-39.3833,-73.1333
"10134001",-39.55,-72.9
"10137001",-39.6675,-72.95
"10102001",-39.7267,-71.8497
"10111001",-39.7667,-72.475
"10122001",-39.775,-72.9833
"10122003",-39.8044,-72.9025
"10121001",-39.8583,-72.825
"10100002",-39.8747,-71.8897
"10142003",-39.9717,-73.1469
"10100006",-40.0967,-71.6758
"10305001",-40.1522,-72.2511
"10304001",-40.25,-72.2667
"10306001",-40.2667,-72.2333
"10313001",-40.2667,-73.0833
"10311001",-40.3167,-72.9667
"10328001",-40.3842,-73.0022
"10327001",-40.4333,-72.9167
"10364001",-40.5167,-73.2833
"10401001",-40.5833,-73.6
"10362001",-40.6181,-73.0594
"10344003",-40.63,-73.1783
"10322003",-40.6603,-72.1772
"10344004",-40.7022,-73.0164
"10356001",-40.7136,-73.2278
"10340001",-40.7889,-72.6889
"10343002",-40.8206,-72.9133
"10363002",-40.8856,-73.1333
"10343001",-40.9333,-72.7
"10405005",-40.9992,-73.5997
"10405002",-41.0167,-73.6167
"10351001",-41.05,-73.3833
"10411002",-41.3833,-73.0667
"10414001",-41.4,-73.2167
"10431000",-41.4275,-72.5928
"10432003",-41.4392,-72.8183
"10432002",-41.4417,-72.8089
"10431001",-41.5083,-72.645
"10440000",-41.5114,-72.6058
"10523002",-41.6044,-72.2064
"10520001",-41.6389,-72.1694
"10503001",-41.7219,-72.0139
"10514001",-41.7569,-72.0525
"10903001",-42.0908,-73.75
"10904001",-42.3933,-73.8594
"10702002",-43.1742,-71.7544
"10701002",-43.2094,-71.9369
"10704002",-43.4492,-72.1075
"11020004",-43.7169,-71.7108
"11040001",-43.8189,-72.3833
"11130001",-44.4625,-72.5583
"11141001",-44.5936,-71.5478
"11147002",-44.6442,-72.275
"11143001",-44.6592,-71.8083
"11143002",-44.75,-72.7167
"11147001",-44.75,-72.7167
"11302001",-45.15,-72.1167
"11307001",-45.2333,-72.2333
"11308001",-45.3833,-72.4667
"11337001",-45.4,-72.6
"11342001",-45.4058,-72.6231
"11405001",-45.4667,-72.9333
"11317001",-45.5517,-72.0681
"11316001",-45.5667,-72.0333
"11315001",-45.5667,-72.0833
"11335002",-45.7833,-72.6167
"11312001",-45.8117,-71.9153
"11310001",-45.8372,-71.7769
"11310003",-45.8853,-71.7211
"11310002",-45.9069,-71.7081
"11505001",-46.2692,-71.9908
"11514001",-46.4333,-72.7
"11521001",-46.5522,-71.8917
"11530000",-47.0667,-72.8
"11536004",-47.1414,-72.7258
"11536001",-47.2517,-72.5644
"11542001",-47.35,-72.85
"11545000",-47.5,-72.975
"11711000",-48.1592,-73.0889
"11710000",-48.3775,-72.9589
"11701001",-48.4833,-72.6
"12280002",-50.9603,-72.7925
"12284003",-51.0167,-72.4833
"12284002",-51.0167,-72.4833
"12284006",-51.0508,-72.5169
"12283003",-51.0783,-72.9933
"12287002",-51.1114,-73.13
"12287001",-51.1833,-73.0167
"12289002",-51.2,-72.9333
"12284004",-51.2167,-72.45
"12289003",-51.2167,-72.9833
"12284007",-51.25,-72.5167
"12284005",-51.2667,-72.4833
"12285003",-51.3097,-72.6206
"12286002",-51.3139,-72.8292
"12289001",-51.3328,-73.1092
"12285001",-51.45,-72.4667
"12291001",-51.5581,-72.7347
"12400003",-51.8233,-72.1592
"12400004",-51.9056,-72.4236
"12600001",-52.03,-71.9414
"12660001",-52.0431,-70.0581
"12622001",-52.0511,-71.4247
"12452001",-52.5492,-71.9747
"12802001",-52.7681,-69.2772
"12861001",-52.8453,-68.6317
"12806001",-52.8461,-69.8944
"12805001",-52.8497,-69.7536
"12448001",-52.9964,-71.8706
"12561001",-53.1089,-71.3036
"12586009",-53.125,-70.9358
"12586001",-53.1381,-70.9875
"12563001",-53.2069,-71.6158
"12585001",-53.2789,-70.9789
"12863002",-53.3164,-68.6511
"12865001",-53.5436,-68.6908
"12582001",-53.65,-70.9667
"12872001",-53.8056,-68.6725
"12820001",-53.8586,-69.9989
"12876001",-53.8928,-68.8844
"12878001",-54.0181,-68.6528
"12825002",-54.5028,-68.8244
"12930001",-54.9469,-67.6392
