"site","latitude","longitude"
"1011000101",16.189402471,-61.658989597
"1011000201",16.19582925,-61.651949755
"1011000301",16.193954427,-61.65561032
"1011000401",16.158271038,-61.672778414
"1015000101",16.175997699,-61.69319975
"1016000101",16.199136863,-61.666435864
"1016000201",16.202822061,-61.657233929
"1016000301",16.193433429,-61.673385354
"1020000101",16.205118648,-61.653093292
"1021000101",16.225308732,-61.668681698
"1025000101",16.27971171,-61.668130065
"1025000201",16.271941152,-61.667993471
"1040000101",16.293870123,-61.717770023
"1040000201",16.296798381,-61.715113667
"1044000101",16.336032497,-61.745007441
"1110000101",16.157941415,-61.627892425
"1111000101",16.181951987,-61.60212418
"1112000101",16.149653493,-61.597352472
"1113000101",16.180126943,-61.647192928
"1120000101",16.071929809,-61.609381528
"1120000201",16.057036348,-61.56608824
"1120000301",16.066805019,-61.585446667
"1121000101",16.057559475,-61.603401793
"1122000101",16.039714664,-61.605619672
"1122000201",16.022531066,-61.57502155
"1122000301",16.045389917,-61.623693349
"1123000101",16.123740687,-61.615206314
"1124000101",16.127263578,-61.587337245
"1126000101",16.100001781,-61.562456953
"1131000101",15.963211632,-61.659512131
"1134000101",16.019158627,-61.609276275
"1134000201",16.02500079,-61.615413076
"1134000301",16.024999945,-61.615282247
"1212000101",16.010759526,-61.739269766
"1213000101",15.996332898,-61.725152838
"1214000101",15.989236632,-61.720413666
"1218000101",16.067742559,-61.718538802
"1220000101",16.110056606,-61.695519784
"1220000201",16.101603762,-61.717583131
"1221000101",16.086536891,-61.725180957
"1221000201",16.059657043,-61.759929533
"1224000101",16.098599964,-61.74909047
"1227000101",16.162251555,-61.765614739
"1227000201",16.160722892,-61.757070717
"1227000301",16.162022446,-61.750553449
"1232000101",16.224316529,-61.776039409
"1232000201",16.067971261,-61.746477755
"1235000101",16.285746742,-61.79058361
"1236000101",16.29672549,-61.782868367
"1311000101",16.255793409,-61.508468286
"1332000101",16.329290583,-61.440836092
"1350000101",16.40045727,-61.441215057
"1355000101",16.403970454,-61.49924553
"1355000201",16.415513864,-61.488267384
"1362000101",16.441174358,-61.508933348
"1422000101",16.311995675,-61.322648953
"1530000101",16.252520424,-61.3790885
"1542000101",16.217444195,-61.497841135
"1641000101",15.935073394,-61.289587036
"2014000101",14.831497784,-61.225533373
"2101000101",14.873158238,-61.178256371
"2101000102",14.873158238,-61.178256371
"2113000101",14.776624396,-61.11098285
"2115000101",14.812058121,-61.106495975
"2115000201",14.831861995,-61.096447645
"2116000101",14.804790393,-61.101868228
"2205000101",14.788161638,-61.055504668
"2205000201",14.779809287,-61.059176417
"2205000301",14.796735688,-61.057075397
"2211000101",14.773034836,-61.006936513
"2221000101",14.730869121,-61.037961962
"2225000101",14.717007964,-60.960337268
"2225000201",14.730483451,-60.98797774
"2225000301",14.729521489,-60.981706085
"2301000101",14.6616867,-61.09286828
"2301000201",14.676753304,-61.097490855
"2302000101",14.618484551,-61.100287937
"2302000201",14.626501082,-61.097887359
"2302000301",14.617853328,-61.100055406
"2320000101",14.729517849,-61.141301418
"2322000101",14.714960626,-61.169082937
"2328000101",14.757457549,-61.163459122
"2329000101",14.749127233,-61.176308059
"2402000101",14.648854081,-61.016305292
"2404000101",14.632474171,-61.023931232
"2414000101",14.632967635,-61.034979423
"2423000101",14.61689841,-61.071269419
"2423000102",14.61689841,-61.071269419
"2423000201",14.615273483,-61.072165027
"2501000101",14.716331664,-61.048843648
"2503000101",14.709559449,-61.033428439
"2503000201",14.703380604,-61.026200998
"2503000301",14.700649554,-61.022531224
"2504000101",14.675951231,-60.993689841
"2511000101",14.704929928,-61.09254523
"2511000201",14.705769475,-61.093952971
"2512000101",14.702960368,-61.073444949
"2512000201",14.69963084,-61.068678697
"2512000301",14.68061176,-61.03554371
"2512000302",14.68061176,-61.03554371
"2512000401",14.685145736,-61.044226351
"2514000101",14.675805438,-61.022964534
"2521000101",14.62517646,-60.985489727
"2521000102",14.62517646,-60.985489727
"2521000201",14.651647472,-60.998352278
"2521000301",14.645465054,-60.993999657
"2521000401",14.666436069,-60.995933352
"2532000101",14.643588774,-60.965244359
"2533000101",14.625094369,-60.97419328
"2533000102",14.625094369,-60.97419328
"2541000101",14.611799759,-60.987499011
"2542000101",14.617685939,-60.994998202
"2543000101",14.605747482,-60.998224292
"2544000101",14.613689172,-60.962681039
"2544000201",14.604004971,-60.99753845
"2544000301",14.599954616,-61.004323585
