"site","latitude","longitude"
"A2H001",-25.73386,27.85969
"A2H002",-25.74497,27.85158
"A2H003",-25.77944,27.26638
"A2H004",-24.87002,28.26333
"A2H005",-25.82947,28.14
"A2H006",-25.38022,28.3165
"A2H007",-25.72888,28.16886
"A2H011",-25.62558,28.19111
"A2H012",-25.81056,27.90983
"A2H013",-25.77703,27.76117
"A2H014",-25.79828,27.98539
"A2H015",-24.67313,27.3955
"A2H016",-25.75055,27.48608
"A2H017",-25.54336,27.35638
"A2H018",-24.63452,27.31638
"A2H020",-25.31088,27.45719
"A2H021",-25.12856,27.62858
"A2H022",-25.79777,27.89552
"A2H023",-25.95444,27.96256
"A2H024",-26.151,27.59478
"A2H025",-24.93391,27.548
"A2H026",-25.40638,28.278
"A2H027",-25.66361,28.35131
"A2H028",-25.65136,28.31911
"A2H029",-25.64711,28.39039
"A2H030",-25.60286,28.37517
"A2H031",-25.13561,27.62719
"A2H032",-25.6375,27.02703
"A2H034",-25.82492,27.77181
"A2H035",-25.86805,27.783
"A2H036",-25.72583,26.88442
"A2H037",-24.66422,27.3755
"A2H038",-25.73486,27.21425
"A2H039",-25.72025,27.18556
"A2H040",-26.03194,28.11188
"A2H041",-25.72886,28.16891
"A2H042",-26.00583,28.03302
"A2H044",-25.8955,27.93481
"A2H045",-25.89275,27.91483
"A2H047",-26.06831,27.97253
"A2H048",-25.57342,27.75411
"A2H049",-25.97681,27.83639
"A2H050",-25.99142,27.84211
"A2H051",-26.03303,27.84269
"A2H052",-25.64613,27.78413
"A2H053",-25.80925,27.47603
"A2H054",-25.68356,28.28661
"A2H055",-25.69239,28.29314
"A2H056",-25.73481,28.17925
"A2H058",-25.74819,27.90986
"A2H059",-25.20631,27.55794
"A2H060",-25.06303,27.52
"A2H061",-25.47086,28.26378
"A2H062",-25.75897,28.21953
"A2H063",-25.70139,28.19161
"A2H064",-24.83731,28.22628
"A2H065",-24.82933,28.22247
"A2H074",-25.74497,27.85158
"A2H075",-25.77944,27.26638
"A2H076",-25.82947,28.14
"A2H077",-25.38119,28.31641
"A2H078",-25.80777,27.91025
"A2H079",-25.77666,27.76219
"A2H090",-25.88555,28.30277
"A2H099",-24.86064,28.25331
"A2H118",-25.56166,27.35108
"A2H119",-25.75055,27.48608
"A2H128",-24.39619,27.08983
"A2H132",-24.69508,27.409
"A3H001",-25.53805,26.10355
"A3H007",-24.86872,26.45408
"A3H008",-25.48116,26.39297
"A3H016",-25.59775,26.30655
"A3H018",-25.81422,26.04913
"A3H027",-25.53805,26.10355
"A4H001",-24.40649,28.10914
"A4H002",-24.28629,28.09553
"A4H003",-24.19123,27.94719
"A4H004",-24.16053,27.47969
"A4H005",-24.08066,27.77267
"A4H006",-23.85958,27.79108
"A4H007",-23.76388,27.90899
"A4H008",-24.21681,27.9732
"A4H009",-23.96902,27.71635
"A4H014",-23.23569,27.71696
"A5H001",-23.99402,28.41221
"A5H002",-23.63404,28.15637
"A5H003",-22.95076,27.97358
"A5H004",-23.98181,28.39993
"A5H005",-23.62099,28.14692
"A5H006",-22.93476,28.00392
"A6H001",-24.27622,28.97517
"A6H002",-24.68286,28.6291
"A6H003",-23.9418,28.72999
"A6H004",-24.32261,28.6986
"A6H005",-23.97013,28.69666
"A6H006",-24.69872,28.40692
"A6H007",-23.43711,28.62444
"A6H008",-24.27983,28.77888
"A6H009",-22.59801,28.88611
"A6H010",-24.57398,28.63953
"A6H011",-24.76184,28.34443
"A6H012",-24.66548,28.4761
"A6H013",-24.56731,28.7636
"A6H015",-24.44038,28.90305
"A6H018",-24.77086,28.3488
"A6H019",-24.65973,28.45079
"A6H020",-24.67111,28.56061
"A6H021",-24.63301,28.59731
"A6H022",-24.60203,28.60749
"A6H023",-24.45783,28.74927
"A6H024",-24.31658,28.91629
"A6H026",-24.37705,28.53026
"A6H033",-24.24105,28.97657
"A6H035",-22.55021,28.8974
"A6H036",-23.98141,28.69562
"A6H037",-24.61525,28.6903
"A6H038",-24.56631,28.76352
"A6H039",-24.69851,28.54809
"A7H001",-22.9091,29.61391
"A7H002",-22.95076,29.24723
"A7H003",-23.06742,29.57891
"A7H004",-22.2247,29.98698
"A7H006",-23.06742,29.57891
"A7H007",-23.88294,29.43149
"A7H008",-22.22718,29.99035
"A7H009",-22.49135,29.98309
"A7H010",-22.91019,29.61103
"A8H001",-22.79299,30.07031
"A8H002",-22.80633,29.88892
"A8H003",-22.86743,29.79975
"A8H004",-22.68411,30.09559
"A8H005",-22.88688,29.79669
"A9H001",-23.11242,30.38949
"A9H002",-22.90799,30.5281
"A9H003",-22.89814,30.52378
"A9H004",-22.77105,30.53894
"A9H005",-23.08563,30.17533
"A9H006",-23.03572,30.27748
"A9H007",-23.05575,30.24476
"A9H012",-22.76851,30.88925
"A9H013",-22.43773,31.07783
"A9H024",-22.94882,30.35615
"A9H025",-22.8541,30.68616
"A9H027",-23.05249,30.23934
"A9H028",-23.08645,30.17487
"A9H029",-22.77266,30.5364
"B1H001",-25.80918,29.31945
"B1H002",-25.819,29.33775
"B1H003",-25.7739,29.54251
"B1H004",-25.67363,29.17322
"B1H005",-26.00655,29.25402
"B1H012",-25.80862,29.5864
"B1H017",-26.3063,29.27494
"B1H018",-26.21702,29.45858
"B1H019",-25.94105,29.25791
"B1H020",-26.10566,29.33077
"B1H021",-26.13636,29.26977
"B1H022",-26.49435,29.23903
"B1H032",-25.82013,29.20825
"B2H001",-25.79251,28.75527
"B2H003",-25.79916,28.73591
"B2H004",-25.92461,28.58588
"B2H005",-25.99416,28.5122
"B2H006",-25.96766,28.5505
"B2H007",-25.99541,28.6635
"B2H008",-26.07905,28.56286
"B2H009",-26.09221,28.60332
"B2H013",-25.79251,28.75527
"B2H014",-25.82586,28.87941
"B2H015",-25.6163,29.01516
"B2H016",-25.57877,29.12747
"B3H001",-24.9265,29.3895
"B3H002",-25.20949,28.56887
"B3H003",-25.26282,28.4672
"B3H004",-24.88535,29.35723
"B3H005",-24.99118,29.35112
"B3H006",-25.15422,29.49724
"B3H007",-25.27225,29.18069
"B3H008",-25.11506,28.99722
"B3H021",-24.92647,29.32338
"B3H025",-24.95861,29.39527
"B3H026",-24.98036,29.37597
"B4H002",-24.66592,30.29365
"B4H003",-25.02911,29.8558
"B4H005",-25.03594,30.21941
"B4H007",-25.00938,30.50019
"B4H009",-24.91205,30.10327
"B4H010",-25.07513,30.43908
"B4H024",-25.06676,29.83338
"B4H025",-24.48338,30.40027
"B5H002",-24.26817,29.80113
"B5L006",-23.90403,29.88642
"B6H001",-24.68025,30.80213
"B6H002",-24.68231,30.8145
"B6H003",-24.68718,30.81368
"B6H004",-24.45931,30.82735
"B6H005",-24.51752,30.83174
"B6H006",-24.92735,30.54655
"B6H007",-24.72481,30.64366
"B6H016",-24.67981,30.80227
"B6H017",-24.31418,30.8562
"B7H001",-24.55065,31.02645
"B7H003",-24.12262,30.35837
"B7H004",-24.55622,31.03225
"B7H006",-24.13401,31.6998
"B7H007",-24.18473,30.82299
"B7H008",-24.0094,30.67236
"B7H009",-24.33116,30.74163
"B7H010",-24.035,30.43356
"B7H011",-24.16429,30.10559
"B7H012",-24.33678,31.14673
"B7H013",-24.17347,30.10274
"B7H014",-24.12415,30.35551
"B7H015",-24.06628,31.24288
"B7H019",-24.03642,31.12821
"B7H020",-24.231,31.634
"B7H023",-24.09263,30.27504
"B7H026",-24.05652,31.72091
"B8H001",-23.89403,30.06948
"B8H002",-23.81737,30.16476
"B8H003",-23.55183,30.1592
"B8H004",-23.92736,30.04309
"B8H005",-23.80209,29.98003
"B8H006",-23.85514,29.94808
"B8H007",-23.67099,30.99006
"B8H008",-23.65837,31.0499
"B8H009",-23.8793,30.36744
"B8H010",-23.89317,30.35765
"B8H012",-23.73404,30.06948
"B8H013",-23.60072,30.09531
"B8H014",-23.88001,30.07964
"B8H015",-23.22407,30.05364
"B8H017",-23.64701,30.71844
"B8H018",-23.83532,31.63744
"B8H019",-23.52622,31.39772
"B8H033",-23.28101,30.54309
"B8H034",-23.70217,31.21661
"B8H043",-23.75071,30.10809
"B8H069",-23.58599,30.34976
"B9H001",-22.83854,31.23709
"B9H002",-23.21628,31.22354
"B9H003",-23.14326,31.46262
"B9H004",-22.95096,31.23374
"B9H005",-23.0427,31.14979
"C1H001",-26.94244,29.26388
"C1H002",-27.16975,29.23331
"C1H003",-27.01077,28.6258
"C1H004",-26.62792,29.02453
"C1H005",-26.85425,29.32531
"C1H006",-26.77589,29.5415
"C1H007",-26.84108,29.72336
"C1H008",-26.86133,28.88461
"C1H009",-26.91658,28.43661
"C1H010",-27.07438,28.5653
"C1H011",-27.01938,28.6455
"C1H012",-27.00231,28.76528
"C1H014",-26.94241,29.26391
"C1H015",-27.17447,29.23572
"C1H017",-27.02314,28.59389
"C1H027",-26.78075,29.80697
"C1H044",-26.84883,29.31522
"C2H001",-26.64428,27.09033
"C2H002",-26.85269,26.63436
"C2H003",-26.82022,28.0633
"C2H004",-26.67075,28.03044
"C2H005",-26.72867,27.718
"C2H006",-26.25272,27.16027
"C2H007",-27.01011,26.69808
